genus,species,cites_listing,regions
Agave,parviflora,I,MEX;USA
Agave,victoriae-reginae,II,MEX
Nolina,interrata,II,MEX;USA
Yucca,queretaroensis,II,MEX
Galanthus,allenii,II,RUS
Galanthus,alpinus,II,ARM;GEO
Galanthus,angustifolius,II,RUS
Galanthus,cilicicus,II,TUR
Galanthus,elwesii,II,BGR;GRC;NLD;ROU;TUR;UKR
Galanthus,fosteri,II,ISR;JOR;LBN;SYR;TUR
Galanthus,gracilis,II,BGR;GRC;ROU;TUR;UKR
Galanthus,grandiflorus,II,
Galanthus,ikariae,II,GRC;IRN;RUS;TUR
Galanthus,koenenianus,II,TUR
Galanthus,krasnovii,II,GEO;TUR
Galanthus,lagodechianus,II,ARM;AZE;GEO;RUS
Galanthus,nivalis,II,ALB;AUT;BEL;BIH;BGR;CZE;RUS;FRA;DEU;GRC;HUN;ITA;NLD;NOR;POL;MDA;ROU;RUS;SVK;ESP;SWE;CHE;TUR;UKR;GBR
Galanthus,"nivalis ""flore pleno""",II,
Galanthus,peshmenii,II,GRC;TUR
Galanthus,platyphyllus,II,GEO;RUS
Galanthus,plicatus,II,ROU;TUR;UKR
Galanthus,reginae-olgae,II,ALB;BIH;GRC;ITA;TUR
Galanthus,rizehensis,II,GEO;IRN;RUS;TUR
Galanthus,transcaucasicus,II,ARM;AZE;IRN;TUR
Galanthus,woronowii,II,GEO;RUS;TUR
Sternbergia,candida,II,TUR
Sternbergia,clusiana,II,GRC;IRN;IRQ;ISR;JOR;LBN;SYR;TUR
Sternbergia,colchiciflora,II,ARM;AZE;BGR;FRA;GEO;GRC;HUN;IRN;ISR;ITA;MDA;ROU;RUS;SVK;ESP;TUR;UKR
Sternbergia,fischeriana,II,AFG;ARM;AZE;GEO;IND;IRN;IRQ;RUS;SYR;TJK;TUR
Sternbergia,greuteriana,II,GRC
Sternbergia,lutea,II,ALB;DZA;AZE;BIH;FRA;GRC;IRN;IRQ;ISR;ITA;LBN;RUS;SVN;ESP;SYR;TUR;TKM
Sternbergia,pulchella,II,LBN;SYR
Sternbergia,schubertii,II,TUR
Sternbergia,sicula,II,GRC;ITA;TUR
