sc_name,genus,species,family,common_names,regions,cites_flag,iucn_flag,wwf_high_risk_flag
Aa nervosa,Aa,nervosa,,,CHL,1,0,0
Abarema abbottii,Abarema,abbottii,,,,0,1,0
Abarema alexandri,Abarema,alexandri,,,,0,1,0
Abarema bigemina,Abarema,bigemina,,,,0,1,0
Abarema callejasii,Abarema,callejasii,,,,0,1,0
Abarema centiflora,Abarema,centiflora,,,,0,1,0
Abarema cochleata,Abarema,cochleata,,,,0,1,0
Abarema cochliocarpos,Abarema,cochliocarpos,,,,0,0,0
Abarema commutata,Abarema,commutata,,,,0,0,0
Abarema curvicarpa,Abarema,curvicarpa,,orelha de negro,,0,1,0
Abarema filamentosa,Abarema,filamentosa,,,,0,1,0
Abarema ganymedea,Abarema,ganymedea,,,,0,1,0
Abarema josephi,Abarema,josephi,,,,0,1,0
Abarema jupunba,Abarema,jupunba,,huruasa,GUY,0,0,0
Abarema killipii,Abarema,killipii,,,,0,1,0
Abarema lehmannii,Abarema,lehmannii,,,,0,1,0
Abarema leucophylla,Abarema,leucophylla,,,,0,1,0
Abarema longipedunculata,Abarema,longipedunculata,,,,0,0,0
Abarema moniliformis,Abarema,moniliformis,,,,0,1,0
Abarema obovata,Abarema,obovata,,,,0,1,0
Abarema oxyphyllidia,Abarema,oxyphyllidia,,,,0,1,0
Abarema racemiflora,Abarema,racemiflora,,,,0,1,0
Abarema rodriguesii,Abarema,rodriguesii,,,,0,1,0
Abarema troyana,Abarema,troyana,,,,0,0,0
Abarema turbinata,Abarema,turbinata,,,,0,1,0
Abarema vaupesensis,Abarema,vaupesensis,,,,0,1,0
Abarema villifera,Abarema,villifera,,,,0,0,0
Abdominea minimiflora,Abdominea,minimiflora,,,MYS;THA;IDN,1,0,0
Abdulmajidia chaniana,Abdulmajidia,chaniana,,,,0,1,0
Abdulmajidia maxwelliana,Abdulmajidia,maxwelliana,,,,0,1,0
Abeliophyllum distichum,Abeliophyllum,distichum,,white forsythia;mi-seon-na-mu,,0,1,0
Abies alba,Abies,alba,Pinaceae,silver fir;weisstanne,,0,1,0
Abies amabilis,Abies,amabilis,Pinaceae,pacific silver fir;cascade fir;lovley fir,,0,1,0
Abies balsamea,Abies,balsamea,Pinaceae,canadian fir;sapin balsamier;balsam fir,,0,1,0
Abies beshanzuensis,Abies,beshanzuensis,Pinaceae,baishan fir;baishanzu lengshan,,0,1,0
Abies bracteata,Abies,bracteata,Pinaceae,santa lucia fir;bristlecone fir,,0,1,0
Abies cephalonica,Abies,cephalonica,Pinaceae,kukunaria;greek fir;grecian fir,,0,1,0
Abies chensiensis,Abies,chensiensis,Pinaceae,qin ling leng shan;salween fir;shensi fir,,0,1,0
Abies cilicica,Abies,cilicica,Pinaceae,cilician fir;syrian fir,,0,1,0
Abies coahuilensis,Abies,coahuilensis,Pinaceae,,,0,1,0
Abies concolor,Abies,concolor,Pinaceae,low's fir;california white fir;white fir;colorado fir,,0,1,0
Abies delavayi,Abies,delavayi,Pinaceae,delavay's fir;cang shan leng shan;medoc fir;fansipan fir;nukiang fir,,0,1,0
Abies densa,Abies,densa,Pinaceae,salla;sikkim fir;gobra;gobria,,0,1,0
Abies durangensis,Abies,durangensis,Pinaceae,durango fir,,0,1,0
Abies ernestii,Abies,ernestii,Pinaceae,,,0,1,0
Abies fabri,Abies,fabri,Pinaceae,minshan fir;pao shan;leng shan;faber’s fir,,0,1,0
Abies fanjingshanensis,Abies,fanjingshanensis,Pinaceae,fan jing lengshan,,0,1,0
Abies fargesii,Abies,fargesii,Pinaceae,farges' fir;bashan lengshan,,0,1,0
Abies faxoniana,Abies,faxoniana,Pinaceae,,,0,1,0
Abies ferreana,Abies,ferreana,Pinaceae,,,0,0,0
Abies firma,Abies,firma,Pinaceae,momi fir;momi;momi-noki,,0,1,0
Abies forrestii,Abies,forrestii,Pinaceae,forrest's fir;changbao lengshan;chuandian lengshan;george's fir,,0,1,0
Abies fraseri,Abies,fraseri,Pinaceae,she balsam;fraser fir;fraser's fir,,0,1,0
Abies georgei,Abies,georgei,Pinaceae,changbao lengshan;george's fir,,0,1,0
Abies gracilis,Abies,gracilis,Pinaceae,,,0,1,0
Abies grandis,Abies,grandis,Pinaceae,lowland fir;giant fir;grand fir,,0,1,0
Abies guatemalensis,Abies,guatemalensis,Pinaceae,pinabere;pashaque;abeto de guatemala;romerillo;mexican fir;guatemalan fir,SLV;MEX;HND;GTM,1,1,1
Abies hickelii,Abies,hickelii,Pinaceae,hickel's fir;pinabete;oyamel,,0,1,0
Abies hidalgensis,Abies,hidalgensis,Pinaceae,,,0,1,0
Abies holophylla,Abies,holophylla,Pinaceae,needle fir;manchurian fir;shansong,,0,1,0
Abies homolepis,Abies,homolepis,Pinaceae,dake-momi;nikko-momi;urajiro-momi;nikko fir,,0,1,0
Abies jaliscana,Abies,jaliscana,Pinaceae,,,0,1,0
Abies kawakamii,Abies,kawakamii,Pinaceae,taiwan fir;taiwan lengshan,,0,1,0
Abies koreana,Abies,koreana,Pinaceae,gu-sang-na-mu;korean fir,,0,1,0
Abies lasiocarpa,Abies,lasiocarpa,Pinaceae,alpine fur;subalpine fir,,0,1,0
Abies macrocarpa,Abies,macrocarpa,Pinaceae,,,0,1,0
Abies magnifica,Abies,magnifica,Pinaceae,california red fir;red fir,,0,1,0
Abies mariesii,Abies,mariesii,Pinaceae,o-shirabiso;marie's fir,,0,1,0
Abies marocana,Abies,marocana,Pinaceae,moroccan fir,,0,1,0
Abies mayriana,Abies,mayriana,Pinaceae,,,0,0,0
Abies mexicana,Abies,mexicana,Pinaceae,,,0,1,0
Abies motuoensis,Abies,motuoensis,Pinaceae,medoc fir,,0,0,0
Abies nebrodensis,Abies,nebrodensis,Pinaceae,sicilian fir;abete delle madonie;abete dei nebrodi,,0,1,0
Abies nemorensis,Abies,nemorensis,Pinaceae,,,0,1,0
Abies nephrolepis,Abies,nephrolepis,Pinaceae,khinghan fir;pikhta amurskaya;hinggan fir;chou lengshan,,0,1,0
Abies nordmanniana,Abies,nordmanniana,Pinaceae,trojan fir;kazdagi fir;kazazdagi fir;dogu karadeniz goknan;egevin;pikhta kavkazkaya;sotchi;amza;nordmann fir;caucasian fir,,0,1,0
Abies nukiangensis,Abies,nukiangensis,Pinaceae,nukiang fir,,0,1,0
Abies numidica,Abies,numidica,Pinaceae,numidische tanne;sapin de numidie;numidsche weisstanne;sapin de babors;taument;algerian fir;sapin d'algerie;algierische tanne;algerian silver fir,,0,1,0
Abies oaxacana,Abies,oaxacana,Pinaceae,,,0,1,0
Abies phanerolepis,Abies,phanerolepis,Pinaceae,,,0,1,0
Abies pindrow,Abies,pindrow,Pinaceae,badar;pindrow fir;west himalayan fir;ragha;pindrau,,0,1,0
Abies pinsapo,Abies,pinsapo,Pinaceae,moroccan fir;pinsapo;spanish fir,,0,1,0
Abies procera,Abies,procera,Pinaceae,noble fir,,0,0,0
Abies recurvata,Abies,recurvata,Pinaceae,zi guo leng shan;mon kiang lien sha;min fir,,0,1,0
Abies religiosa,Abies,religiosa,Pinaceae,oyamel;sacred fir;oyamel fir,,0,1,0
Abies sachalinensis,Abies,sachalinensis,Pinaceae,todo-matsu;akatodo;pikhta sakhalinskaya;sakhalin fir,,0,1,0
Abies sibirica,Abies,sibirica,Pinaceae,xian bei leng shan;siberian fir;tienshan fir,,0,1,0
Abies sikokiana,Abies,sikokiana,Pinaceae,shikoku-shirabe;shikoku fir,,0,1,0
Abies smithii,Abies,smithii,Pinaceae,,,0,1,0
Abies spectabilis,Abies,spectabilis,Pinaceae,xizang leng shan;paludar;bang;himalayan fir;webb fir;chilrao;badar,,0,1,0
Abies squamata,Abies,squamata,Pinaceae,flaky fir;linpi leng shan,,0,1,0
Abies sutchuensis,Abies,sutchuensis,Pinaceae,,,0,0,0
Abies umbellata,Abies,umbellata,Pinaceae,,,0,1,0
Abies veitchii,Abies,veitchii,Pinaceae,veitch’s fir;shikoku-shirabe;shikoku fir;shira-biso,,0,1,0
Abies vejarii,Abies,vejarii,Pinaceae,hayarin;vejar's fir,,0,1,0
Abies yuanbaoshanensis,Abies,yuanbaoshanensis,Pinaceae,yuanbaoshan lengshan;yuanbaoshan fir,,0,1,0
Abies ziyuanensis,Abies,ziyuanensis,Pinaceae,ziyuan lengshan;ziyuan fir,,0,1,0
Abrahamia grandidieri,Abrahamia,grandidieri,,hazombasy;sohihy,,0,1,0
Abrahamia sericea,Abrahamia,sericea,,tsimalazo,,0,0,0
Abrus aureus,Abrus,aureus,,voatorana;masonangatra;voamatora;masogaga;masamamboagara;masamamboatorana;masomamboatorana;masogoaiky;vahimboamena;saravokatra,,0,1,0
Abrus fruticulosus,Abrus,fruticulosus,,,,0,1,0
Abrus madagascariensis,Abrus,madagascariensis,,,,0,1,0
Abrus sambiranensis,Abrus,sambiranensis,,,,0,1,0
Abrus schimperi,Abrus,schimperi,,,,0,0,0
Abutilon depauperatum,Abutilon,depauperatum,,abrojo,,0,0,0
Abutilon eremitopetalum,Abutilon,eremitopetalum,,hiddenpetal indian mallow;hidden-petaled abutilon,,0,1,0
Abutilon menziesii,Abutilon,menziesii,,ko'oloa'ula,,0,1,0
Abutilon sachetianum,Abutilon,sachetianum,,,,0,1,0
Abutilon sandwicense,Abutilon,sandwicense,,greenflower indian mallow,,0,1,0
Acaena exigua,Acaena,exigua,,liliwai,,0,1,0
Acalypha andina,Acalypha,andina,,,,0,1,0
Acalypha cupricola,Acalypha,cupricola,,,,0,1,0
Acalypha dictyoneura,Acalypha,dictyoneura,,,,0,1,0
Acalypha dikuluwensis,Acalypha,dikuluwensis,,,,0,1,0
Acalypha ecuadorica,Acalypha,ecuadorica,,,,0,1,0
Acalypha eggersii,Acalypha,eggersii,,,,0,1,0
Acalypha grisebachiana,Acalypha,grisebachiana,,,,0,0,0
Acalypha guineensis,Acalypha,guineensis,,,,0,1,0
Acalypha hontauyuensis,Acalypha,hontauyuensis,,,,0,1,0
Acalypha lepinei,Acalypha,lepinei,,,,0,1,0
Acalypha parvula,Acalypha,parvula,,,,0,0,0
Acalypha raivavensis,Acalypha,raivavensis,,,,0,1,0
Acalypha rubrinervis,Acalypha,rubrinervis,,stringwood,,0,1,0
Acalypha schimpffii,Acalypha,schimpffii,,,,0,1,0
Acalypha suirenbiensis,Acalypha,suirenbiensis,,,,0,1,0
Acalypha tunguraguae,Acalypha,tunguraguae,,,,0,1,0
Acalypha wilderi,Acalypha,wilderi,,,,0,1,0
Acampe congesta,Acampe,congesta,,,,1,0,0
Acampe multiflora,Acampe,multiflora,,,HKG;CHN,1,0,0
Acampe papillosa,Acampe,papillosa,,,,1,0,0
Acampe praemorsa,Acampe,praemorsa,,,,1,0,0
Acampe rigida,Acampe,rigida,,,HKG;SYC,1,0,0
Acampe wightiana,Acampe,wightiana,,,,1,0,0
Acanthephippium bicolor,Acanthephippium,bicolor,,,LKA;IND,1,0,0
Acanthephippium curtisii,Acanthephippium,curtisii,,,MYS,1,0,0
Acanthephippium gougahense,Acanthephippium,gougahense,,,,1,0,0
Acanthephippium javanicum,Acanthephippium,javanicum,,,MYS;IDN,1,0,0
Acanthephippium lycaste,Acanthephippium,lycaste,,,MYS,1,0,0
Acanthephippium parviflorum,Acanthephippium,parviflorum,,,IDN,1,0,0
Acanthephippium pictum,Acanthephippium,pictum,,,,1,0,0
Acanthephippium sinense,Acanthephippium,sinense,,,HKG;CHN,1,1,0
Acanthephippium striatum,Acanthephippium,striatum,,,IND;IDN,1,0,0
Acanthephippium sylhetnese,Acanthephippium,sylhetnese,,,BGD;IND,1,0,0
Acanthephippium unguiculatum,Acanthephippium,unguiculatum,,,TWN,1,0,0
Acanthephippium vitiense,Acanthephippium,vitiense,,,NCL,1,0,0
Acanthephippium yamamotoi,Acanthephippium,yamamotoi,,,TWN;JPN,1,0,0
Acanthocalycium ferrarii,Acanthocalycium,ferrarii,,,ARG,1,0,0
Acanthocalycium klimpelianum,Acanthocalycium,klimpelianum,,,ARG,1,0,0
Acanthocalycium spiniflorum,Acanthocalycium,spiniflorum,,,ARG,1,0,0
Acanthocereus baxaniensis,Acanthocereus,baxaniensis,,,CUB,1,0,0
Acanthocereus colombianus,Acanthocereus,colombianus,,,COL,1,0,0
Acanthocereus horridus,Acanthocereus,horridus,,,SLV;MEX;GTM,1,0,0
Acanthocereus occidentalis,Acanthocereus,occidentalis,,,MEX,1,0,0
Acanthocereus subinermis,Acanthocereus,subinermis,,,MEX,1,0,0
Acanthocereus tetragonus,Acanthocereus,tetragonus,,nopal de tres lomos;nopal de cruz;bejunco;triangle cactus;cruceta,SLV;BLZ;GTM;GRD;CRI;CUB;MEX;TTO;USA;LCA;MTQ;GLP;HND;VEN;PAN,1,1,0
Acanthochlamys bracteata,Acanthochlamys,bracteata,,,,0,1,0
Acantholimon gabrieljaniae,Acantholimon,gabrieljaniae,,gabrielyan's prickly-thrift;akantolimon gabrielian;voznatup gabrieliani,,0,1,0
Acantholimon vedicum,Acantholimon,vedicum,,akantolimon vedinski;vedian prickly thrift;voznatup vedu,,0,1,0
Acanthopale decempedalis,Acanthopale,decempedalis,,,,0,1,0
Acanthopale laxiflora,Acanthopale,laxiflora,,,,0,0,0
Acanthopale macrocarpa,Acanthopale,macrocarpa,,,,0,0,0
Acanthophippium mantinianum,Acanthophippium,mantinianum,,,,1,0,0
Acanthophoenix rubra,Acanthophoenix,rubra,,palmiste piquant;palmiste rouge,,0,1,0
Acanthosyris annonagustata,Acanthosyris,annonagustata,,,,0,1,0
Acanthosyris asipapote,Acanthosyris,asipapote,,,,0,1,0
Acanthus austromontanus,Acanthus,austromontanus,,,,0,1,0
Acanthus ebracteatus,Acanthus,ebracteatus,,acanthus;sea holly,,0,1,0
Acanthus ilicifolius,Acanthus,ilicifolius,,holy mangrove,,0,0,0
Acanthus kulalensis,Acanthus,kulalensis,,,,0,1,0
Acanthus latisepalus,Acanthus,latisepalus,,,,0,1,0
Acanthus montanus,Acanthus,montanus,,,,0,0,0
Acanthus volubilis,Acanthus,volubilis,,,,0,0,0
Acca lanuginosa,Acca,lanuginosa,,,,0,1,0
Acer amplum,Acer,amplum,Sapindaceae,,,0,1,0
Acer binzayedii,Acer,binzayedii,Sapindaceae,algodoncillo,,0,1,0
Acer buergerianum,Acer,buergerianum,Sapindaceae,taiwan trident maple,,0,1,0
Acer caesium,Acer,caesium,Sapindaceae,indian maple,,0,1,0
Acer campestre,Acer,campestre,Sapindaceae,field maple,,0,0,0
Acer cappadocicum,Acer,cappadocicum,Sapindaceae,caucasian maple;cappadocian maple;coliseum maple,,0,1,0
Acer circinatum,Acer,circinatum,Sapindaceae,vine maple,,0,0,0
Acer drummondi,Acer,drummondi,Sapindaceae,swamp red maple,,0,0,0
Acer duplicatoserratum,Acer,duplicatoserratum,Sapindaceae,,,0,1,0
Acer erythranthum,Acer,erythranthum,Sapindaceae,,,0,1,0
Acer floridanum,Acer,floridanum,Sapindaceae,southern sugar maple;florida maple,,0,1,0
Acer formosanum,Acer,formosanum,Sapindaceae,taiwan trident maple,,0,1,0
Acer glabrum,Acer,glabrum,Sapindaceae,rocky mountain maple,,0,0,0
Acer grandidentatum,Acer,grandidentatum,Sapindaceae,bigtooth maple,,0,0,0
Acer heldreichii,Acer,heldreichii,Sapindaceae,mountain maple;zheshlaj,,0,1,0
Acer leipoense,Acer,leipoense,Sapindaceae,,,0,1,0
Acer leucoderme,Acer,leucoderme,Sapindaceae,chalk maple,,0,0,0
Acer lobelii,Acer,lobelii,Sapindaceae,lobel's maple,,0,0,0
Acer macrophyllum,Acer,macrophyllum,Sapindaceae,bigleaf maple;oregon maple,,0,1,0
Acer membranaceum,Acer,membranaceum,Sapindaceae,,,0,1,0
Acer miaotaiense,Acer,miaotaiense,Sapindaceae,,,0,1,0
Acer microcarpum,Acer,microcarpum,Sapindaceae,,,0,1,0
Acer monspessulanum,Acer,monspessulanum,Sapindaceae,montpellier maple,,0,0,0
Acer negundo,Acer,negundo,Sapindaceae,boxelder,,0,1,0
Acer nigrum,Acer,nigrum,Sapindaceae,black maple,,0,0,0
Acer oblongum,Acer,oblongum,Sapindaceae,himalayan maple,,0,1,0
Acer obtusifolium,Acer,obtusifolium,Sapindaceae,syrian maple;cyprus maple,,0,1,0
Acer palmatum,Acer,palmatum,Sapindaceae,japanese maple,,0,1,0
Acer pensylvanicum,Acer,pensylvanicum,Sapindaceae,striped maple;moosewood,,0,1,0
Acer pentapomicum,Acer,pentapomicum,Sapindaceae,,,0,0,0
Acer pictum,Acer,pictum,Sapindaceae,the painted maple,,0,0,0
Acer platanoides,Acer,platanoides,Sapindaceae,norway maple,,0,0,0
Acer platanus,Acer,platanus,Sapindaceae,,,0,0,0
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,sycamore,,0,0,0
Acer rubrum,Acer,rubrum,Sapindaceae,red maple,,0,0,0
Acer saccharinum,Acer,saccharinum,Sapindaceae,silver maple,,0,0,0
Acer saccharum,Acer,saccharum,Sapindaceae,sugar maple,,0,0,0
Acer skutchii,Acer,skutchii,Sapindaceae,álamo plateado,,0,1,0
Acer undulatum,Acer,undulatum,Sapindaceae,,,0,0,0
Acer velutinum,Acer,velutinum,Sapindaceae,velvet maple;persian maple,,0,1,0
Aceras anthropophorum,Aceras,anthropophorum,,,TUR;GRC;DEU;ITA;FRA;BEL;ESP;BIH;NLD;CHE;PRT;GBR,1,0,0
Aceratorchis albiflora,Aceratorchis,albiflora,,,CHN,1,0,0
Acharagma aguirreanum,Acharagma,aguirreanum,,,,0,1,0
Acharagma roseanum,Acharagma,roseanum,,,,0,1,0
Achillea crithmifolia,Achillea,crithmifolia,,yarrow,,0,0,0
Achillea glaberrima,Achillea,glaberrima,,,,0,0,0
