sc_name,genus,species,type,family
,Acacia,auriculiformis,,Leguminosae
,Acacia,crassicarpa,,Leguminosae
,Acacia,decurrens,,Leguminosae
,Acacia,koa,,Leguminosae
,Acacia,mangium,,Leguminosae
,Acacia,mearnsii,,Leguminosae
,Acacia,melanoxylon,,Leguminosae
,Acacia,nilotica,,Leguminosae
,Acacia,pubescens,,Leguminosae
,Acer,campestre,,Sapindaceae
,Acer,macrophyllum,,Sapindaceae
,Acer,negundo,,Sapindaceae
,Acer,palmatum,,Sapindaceae
,Acer,pensylvanicum,,Sapindaceae
,Acer,pictum,,Sapindaceae
,Acer,platanus,,Sapindaceae
,Acer,pseudoplatanus,,Sapindaceae
,Acer,rubrum,,Sapindaceae
,Acer,saccharinum,,Sapindaceae
,Acer,saccharum,,Sapindaceae
,Acer,saccharum,,Sapindaceae
,Acer,nigrum,,Sapindaceae
,Acosmium,panamense,,Leguminosae
,Acrocarpus,fraxinifolius,,Leguminosae
,Adenanthera,pavonina,,Leguminosae
,Aesculus,flava,,Sapindaceae
,Aesculus,glabra,,Sapindaceae
,Aesculus,hippocastanum,,Sapindaceae
,Aesculus,turbinata,,Sapindaceae
,Afzelia,africana,,Leguminosae
,Afzelia,bella,,Leguminosae
,Afzelia,bipindensis,,Leguminosae
,Afzelia,pachyloba,,Leguminosae
,Afzelia,quanzensis,,Leguminosae
,Afzelia,rhomboidea,,Leguminosae
,Afzelia,xylocarpa,,Leguminosae
,Aglaia,cucullata,,Meliaceae
,Aglaia,spectabilis,,Meliaceae
,Ailanthus,altissima,,Simaroubaceae
,Ailanthus,triphysa,,Simaroubaceae
,Alangium,meyeri,,Cornaceae
,Albizia,adianthifolia,,Leguminosae
,Albizia,antunesiana,,Leguminosae
,Albizia,ferruginea,,Leguminosae
,Albizia,guachapele,,Leguminosae
,Albizia,gummifera,,Leguminosae
,Albizia,lebbeck,,Leguminosae
,Albizia,lebbekoides,,Leguminosae
,Albizia,pedicellaris,,Leguminosae
,Albizia,procera,,Leguminosae
,Albizia,saman,,Leguminosae
,Albizia,versicolor,,Leguminosae
,Albizia,zygia,,Leguminosae
,Alchornea,triplinervia,,Euphorbiaceae
,Aleurites,moluccanus,,Euphorbiaceae
,Alexa,grandiflora,,Leguminosae
,Alexa,imperatricis,,Leguminosae
,Alexa,wachenheimii,,Leguminosae
