genus,species,common_names,regions
Abarema,jupunba,huruasa,GUY
Acacia,auriculiformis,acacia,AUS;IDN;MYS;PNG;THA;GBR;USA
Acacia,mangium,acacia,AUS;IDN;MYS;PNG;THA;GBR;USA
Adina,cordifolia,haldu,KHM;IND;IDN;LAO;MYS;MMR;PHL;LKA;THA;VNM
Adina,microcephala,mugonha,
Afrormosia,elata,afrormosia,CMR;CAF;CIV;GHA;COD;FRA
Afzelia,africana,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,bella,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,bipindensis,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,cuanzensis,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Afzelia,pachyloba,doussié,AGO;CMR;COG;CIV;GHA;MOZ;NGA;SEN;SLE;TZA;COD;DEU;PRT;GBR;USA
Aglaia,spp.,tasua,
Albizia,adianthifolia,mepepe,
Albizia,angolensis,iatandza,AGO;BEN;CMR;COG;CIV;GAB;GHA;LBR;NGA;UGA;COD;GBR
Albizia,falcataria,batai,PHL;IDN;MYS;GBR
Albizia,fastigiata,mepepe,
Albizia,ferruginea,iatandza,AGO;BEN;CMR;COG;CIV;GAB;GHA;LBR;NGA;UGA;COD;GBR
Albizia,gummifera,mepepe,
Albizia,lebbek,kokko,BGD;PHL;IND;IDN;MYS;NPL;THA;VNM;FRA;ESP;GBR
Albizia,saman,kungkur,
Albizia,zygia,mepepe,
Alchornea,triplinervia,tapiá,BRA
Alexa,spp.,haiari,BRA;GUY;SUR
Allantoma,integrifolia,jequitiba,BOL;BRA
Alstonia,angustiloba,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,boonei,emien,NGA;UGA;GBR
Alstonia,congensis,emien,NGA;UGA;GBR
Alstonia,gilletii,emien,NGA;UGA;GBR
Alstonia,macrophylla,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,pneumatophora,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,scholaris,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Alstonia,spatulata,hard alstonia (pulaï),IDN;MYS;MMR;PNG;PHL;THA;VNM;AUS;IND;GBR
Amblygonocarpus,andongensis,banga-wanga,
Amblygonocarpus,obtusangulus,banga-wanga,
Amburana,cearensis,cerejeira,ARG;BOL;BRA;PRY;PER
Amoora,spp.,tasua,
Amphimas,pterocarpoides,lati,CMR;CIV;GHA;COG
Amphimas,spp.,lati,CMR;CIV;GHA;COG
Anacardium,excelsum,caracoli,BRA;COL;ECU;NIC;VEN
Anadenanthera,colubrina,curupay,
Andira,spp.,andira,BRA;COL;ECU;GUF;GUY;MEX;PER;SUR;TTO;VEN
Androstachys,johnsonii,mecrussé,MOZ;ZAF
Aniba,duckei,bois rose femelle,BRA
Aniba,guianensis,canelón,
Aniba,hypoglauca,gale silverballi,
Aniba,ovalifolia,gale silverballi,
Aniba,perutilis,comino crespo,BOL;BRA;COL;PER;GBR
Aniba,rosaeodora,bois rose femelle,BRA
Aningeria,altissima,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,robusta,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,spp.,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Aningeria,superba,aniégré (aningré),AGO;CAF;COG;CIV;ETH;KEN;NGA;UGA;COD;DEU;ITA;GBR
Anisoptera,costata,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,curtisii,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,laevis,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,marginata,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,oblonga,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,spp.,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anisoptera,thurifera,mersawa,KHM;IDN;LAO;MYS;MMR;PNG;PHL;THA;FRA;GBR;USA
Anopyxis,ealaensis,bodioa,
Anopyxis,klaineana,bodioa,
Anthocephalus,cadamba,kadam,IDN;MYS;MMR;PHL
Anthocephalus,macrophyllus,kadam,IDN;MYS;MMR;PHL
Anthonotha,fragrans,kibakoko,
Antiaris,africana,ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antiaris,toxicaria,ako;ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR;AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antiaris,welwitschii,ako,AGO;CIV;GHA;NGA;TZA;UGA;COD;DEU;GBR
Antonia,ovata,inyak,
Antrocaryon,klaineanum,onzabili,AGO;CMR;CIV;GNQ;GAB;GHA;COD;PRT
Antrocaryon,micraster,onzabili,AGO;CMR;CIV;GNQ;GAB;GHA;COD;PRT
