index,hscode_6,Description,keywords,sc_names
2178,440111,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms && Coniferous,fuel;coniferous;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;billets;chips or particles;twigs,
2179,440112,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms && Nonconiferous,fuel;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;nonconiferous;billets;chips or particles;twigs,
2180,440121,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Coniferous && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Coniferous,fuel;coniferous;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;billets;chips or particles;twigs,
2181,440122,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Nonconiferous && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Nonconiferous,fuel;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;nonconiferous;billets;chips or particles;twigs,
2182,440131,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood pellets && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood pellets,fuel;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;billets;chips or particles;twigs;wood pellets,
2183,440139,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Artificial fire logs composed of wax && sawdust &&  with or without added materials && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Sawdust && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Shavings && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Artificial fire logs composed of wax && sawdust &&  with or without added materials && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Sawdust not agglomerated && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Shavings && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Other,fuel;wax;waste;wood in chips;fire logs;pellets or similar;wood waste;agglomerated in logs;pellets;composed of wax;shavings;faggots;logs composed;sawdust not agglomerated;similar forms;logs;forms;added materials;artificial fire;briquettes;chips;wood;fire logs composed;materials;artificial fire logs;sawdust;agglomerated;fuel wood;particles;fire;scrap;similar;composed;billets;chips or particles;twigs;added;artificial,
2184,440140,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Sawdust && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Shavings && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Other,fuel;waste;wood in chips;pellets or similar;wood waste;agglomerated in logs;pellets;shavings;faggots;similar forms;logs;forms;chips;briquettes;wood;sawdust;agglomerated;fuel wood;particles;scrap;similar;billets;chips or particles;twigs,
2185,440210,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Of bamboo && Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Of bamboo,wood;including shell;including;nut charcoal;wood charcoal;agglomerated;charcoal;nut;shell;shell or nut;bamboo,
2186,440290,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Other && Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Other,wood;including shell;including;nut charcoal;wood charcoal;agglomerated;charcoal;nut;shell;shell or nut,
2187,440311,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Telephone &&  telegraph && electrical power poles && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Fence posts && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Other && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Other,stain;roughly squared;squared;coniferous;power poles;telephone;creosote;posts;poles;treated with paint;preservatives;piles;stripped of bark;sap;wood;telegraph;rough;bark;sap wood;electrical;electrical power poles;paint;power;electrical power;fence;treated;bark or sap;roughly;fence posts;stripped,
