iucn_status_code,genus,species,common_names
EN,Abies,pinsapo,
LR/cd,Cotoneaster,granatensis,guillomera;guillomera
LR/cd,Cotoneaster,granatensis,guillomo;guillomera
LR/cd,Cotoneaster,granatensis,guillomero;guillomera
LR/cd,Cotoneaster,granatensis,durillo;guillomera
LC,Juniperus,drupacea,syrian juniper;syrian juniper
VU,Liquidambar,orientalis,
EN,Picea,omorika,omorika;serbian spruce
EN,Picea,omorika,serbian spruce;serbian spruce
EN,Picea,omorika,muljika;serbian spruce
EN,Picea,omorika,;serbian spruce
VU,Prunus,ramburii,endrino de sierra nevada;espino negro
VU,Prunus,ramburii,espino negro;espino negro
LC,Rhamnus,intermedia,
EN,Rhamnus,persicifolia,
VU,Salix,tarraconensis,salenca tortosina;salenca tortosina
LC,Tetraclinis,articulata,thuya de barbarie;sandarac
LC,Tetraclinis,articulata,alerce;sandarac
LC,Tetraclinis,articulata,bois de citre;sandarac
LC,Tetraclinis,articulata,sandarac gum tree;sandarac
LC,Tetraclinis,articulata,sandarac;sandarac
LC,Tetraclinis,articulata,gharghar;sandarac
EN,Zelkova,abelicea,
CR,Abies,numidica,taument;algerian fir
CR,Abies,numidica,algerian silver fir;algerian fir
CR,Abies,numidica,numidische tanne;algerian fir
CR,Abies,numidica,algerian fir;algerian fir
CR,Abies,numidica,algierische tanne;algerian fir
CR,Abies,numidica,numidsche weisstanne;algerian fir
CR,Abies,numidica,sapin de numidie;algerian fir
CR,Abies,numidica,sapin de babors;algerian fir
CR,Abies,numidica,sapin d'algerie;algerian fir
EN,Apollonias,barbujana,barbusano;barbusano
NT,Arbutus,canariensis,;madroño
VU,Arbutus,pavarii,
EN,Cupressus,dupreziana,moroccan cypress;saharan cypress
EN,Cupressus,dupreziana,tarout;saharan cypress
EN,Cupressus,dupreziana,;saharan cypress
EN,Cupressus,dupreziana,saharan cypress;saharan cypress
EN,Cupressus,dupreziana,;saharan cypress
VU,Juniperus,brevifolia,cedro;azores juniper
VU,Juniperus,brevifolia,azores juniper;azores juniper
EN,Juniperus,cedrus,canary islands juniper;canary islands juniper
EN,Juniperus,cedrus,cedro;canary islands juniper
EN,Juniperus,cedrus,cedro da madeira;canary islands juniper
LC,Ocotea,foetens,til;tilo
LC,Ocotea,foetens,tilo;tilo
LC,Persea,indica,;viñatigo
LC,Persea,indica,;viñatigo
LC,Picconia,azorica,
LC,Picconia,excelsa,palo blanco;palo blanco
LC,Picconia,excelsa,pau branco;palo blanco
LC,Rhamnus,crenulata,espino negro;espino negro
LC,Rhamnus,crenulata,espinero;espino negro
LC,Rhamnus,glandulosa,sanguino;sanguino
LC,Rhamnus,glandulosa,sanguinho;sanguino
NT,Rhamnus,integrifolia,mocanillo;moralito
NT,Rhamnus,integrifolia,moralito;moralito
EN,Sideroxylon,mirmulans,marmulan;marmulan
EN,Sideroxylon,mirmulans,marmulano;marmulan
CR,Sorbus,aucuparia,madeira mountain ash;madeira mountain ash
CR,Sorbus,aucuparia,sorveira;madeira mountain ash
CR,Sorbus,aucuparia,madeiran white beam;madeira mountain ash
LC,Visnea,mocanera,mocano;mocán
LC,Visnea,mocanera,;mocán
LR/nt,Acacia,montis-usti,brandbergdoring;brandberg acacia
LR/nt,Acacia,montis-usti,brandberg acacia;brandberg acacia
