main_common_name,Status code,Common Name,genus,species,common_name
,EN,,Abies,pinsapo,
guillomera,LR/cd,guillomera,Cotoneaster,granatensis,guillomera;guillomera
guillomera,LR/cd,guillomo,Cotoneaster,granatensis,guillomo;guillomera
guillomera,LR/cd,guillomero,Cotoneaster,granatensis,guillomero;guillomera
guillomera,LR/cd,durillo,Cotoneaster,granatensis,durillo;guillomera
syrian juniper,LC,syrian juniper,Juniperus,drupacea,syrian juniper;syrian juniper
,VU,,Liquidambar,orientalis,
serbian spruce,EN,omorika,Picea,omorika,omorika;serbian spruce
serbian spruce,EN,serbian spruce,Picea,omorika,serbian spruce;serbian spruce
serbian spruce,EN,muljika,Picea,omorika,muljika;serbian spruce
serbian spruce,EN,,Picea,omorika,;serbian spruce
espino negro,VU,endrino de sierra nevada,Prunus,ramburii,endrino de sierra nevada;espino negro
espino negro,VU,espino negro,Prunus,ramburii,espino negro;espino negro
,LC,,Rhamnus,intermedia,
,EN,,Rhamnus,persicifolia,
salenca tortosina,VU,salenca tortosina,Salix,tarraconensis,salenca tortosina;salenca tortosina
sandarac,LC,thuya de barbarie,Tetraclinis,articulata,thuya de barbarie;sandarac
sandarac,LC,alerce,Tetraclinis,articulata,alerce;sandarac
sandarac,LC,bois de citre,Tetraclinis,articulata,bois de citre;sandarac
sandarac,LC,sandarac gum tree,Tetraclinis,articulata,sandarac gum tree;sandarac
sandarac,LC,sandarac,Tetraclinis,articulata,sandarac;sandarac
sandarac,LC,gharghar,Tetraclinis,articulata,gharghar;sandarac
,EN,,Zelkova,abelicea,
algerian fir,CR,taument,Abies,numidica,taument;algerian fir
algerian fir,CR,algerian silver fir,Abies,numidica,algerian silver fir;algerian fir
algerian fir,CR,numidische tanne,Abies,numidica,numidische tanne;algerian fir
algerian fir,CR,algerian fir,Abies,numidica,algerian fir;algerian fir
algerian fir,CR,algierische tanne,Abies,numidica,algierische tanne;algerian fir
algerian fir,CR,numidsche weisstanne,Abies,numidica,numidsche weisstanne;algerian fir
algerian fir,CR,sapin de numidie,Abies,numidica,sapin de numidie;algerian fir
algerian fir,CR,sapin de babors,Abies,numidica,sapin de babors;algerian fir
algerian fir,CR,sapin d'algerie,Abies,numidica,sapin d'algerie;algerian fir
barbusano,EN,barbusano,Apollonias,barbujana,barbusano;barbusano
madroño,NT,,Arbutus,canariensis,;madroño
,VU,,Arbutus,pavarii,
saharan cypress,EN,moroccan cypress,Cupressus,dupreziana,moroccan cypress;saharan cypress
saharan cypress,EN,tarout,Cupressus,dupreziana,tarout;saharan cypress
saharan cypress,EN,,Cupressus,dupreziana,;saharan cypress
saharan cypress,EN,saharan cypress,Cupressus,dupreziana,saharan cypress;saharan cypress
saharan cypress,EN,,Cupressus,dupreziana,;saharan cypress
azores juniper,VU,cedro,Juniperus,brevifolia,cedro;azores juniper
azores juniper,VU,azores juniper,Juniperus,brevifolia,azores juniper;azores juniper
canary islands juniper,EN,canary islands juniper,Juniperus,cedrus,canary islands juniper;canary islands juniper
canary islands juniper,EN,cedro,Juniperus,cedrus,cedro;canary islands juniper
canary islands juniper,EN,cedro da madeira,Juniperus,cedrus,cedro da madeira;canary islands juniper
tilo,LC,til,Ocotea,foetens,til;tilo
tilo,LC,tilo,Ocotea,foetens,tilo;tilo
viñatigo,LC,,Persea,indica,;viñatigo
viñatigo,LC,,Persea,indica,;viñatigo
,LC,,Picconia,azorica,
palo blanco,LC,palo blanco,Picconia,excelsa,palo blanco;palo blanco
palo blanco,LC,pau branco,Picconia,excelsa,pau branco;palo blanco
espino negro,LC,espino negro,Rhamnus,crenulata,espino negro;espino negro
espino negro,LC,espinero,Rhamnus,crenulata,espinero;espino negro
sanguino,LC,sanguino,Rhamnus,glandulosa,sanguino;sanguino
sanguino,LC,sanguinho,Rhamnus,glandulosa,sanguinho;sanguino
