Clibadium alatum
Eugenia plumbea
Pritchardia viscosa
Burmeistera huacamayensis
Delilia inelegans
Magnolia hamorii
Thalassia testudinum
Gagea granatellii
Genista haenseleri
Melicope puberula
Hibiscus waimeae
Eurya rengechiensis
Dipterocarpus turbinatus
Delonix boiviniana
Euphorbia heleniana
Chrozophora tinctoria
Cirsium eliasianum
Dianthus diutinus
Saxicolella flabellata
Rhamnus matudai
Bulbophyllum delitescens
Matelea orthoneura
Zygogynum oligostigma
Hypericum matangense
Carex lapponica
Diplostephium crypteriophyllum
Ardisia rufa
Ilex lechleri
Dalea obovata
Schefflera cephalotes
Baccharis fusca
Canavalia kauaiensis
Sideroxylon retinerve
Afrothismia saingei
Leptoderris macrothyrsa
Carex scabrata
Diospyros neraudii
Amaranthus brownii
Horsfieldia crassivalva
Memecylon urceolatum
Casearia mannii
Chondria flexicaulis
Knema alvarezii
Cycas curranii
Lasianthus wallacei
Paracladopus chantaburiensis
Santalum haleakalae
Alloeochaete ulugurensis
Cariniana penduliflora
Polystachya geniculata
Bonnetia celiae
Dypsis rakotonasoloi
Henriettea granularis
Cycas canalis
Platanthera yosemitensis
Succisa trichotocephala
Cossinia trifoliata
Cryptanthus diamantinensis
Rosselia bracteata
Centropogon arcuatus
Leucadendron discolor
Cordia rickseckeri
Rytigynia hirsutiflora
Spathelia coccinea
Amphiroa crustiformis
Nepenthes muluensis
Octomeria rodeiensis
Colpodium drakensbergense
Pistacia weinmannifolia
Podospermum schischkinii
Solanum chimborazense
Shorea hypochra
Rinorea hymenosepala
Phyllanthus venustulus
Calophyllum macrophyllum
Pouteria congestifolia
Zostera capensis
Styloceras kunthianum
Raphia mambillensis
Ilex perado
Franklinia alatamaha
Paphiopedilum platyphyllum
Peperomia thienii
Riella capensis
Shorea stenoptera
Coussapoa jatun-sachensis
Mammillaria eriacantha
Magnolia thailandica
Palaquium philippense
Parathesis bicolor
Placodiscus opacus
Diospyros angulata
Micranthocereus flaviflorus
Alseodaphne garciniaecarpa
Copiapoa serpentisulcata
Hopea canarensis
Ancistrocladus grandiflorus
Psephellus prokhanovii
Colchicum greuteri
Quercus ilex
Sterculia oblonga
Pseudomuscari coeruleum
Prionostemma delagoensis
Dypsis commersoniana
Berberis johannis
Gasteranthus imbaburensis
Shorea henryana
Senecio elodes
Vitex heptaphylla
Euphorbia hildebrandtii
Mauria trichothyrsa
Parodia tenuicylindrica
Juncus subnodulosus
Macropodiella macrothyrsa
Centropogon steyermarkii
Durio wyatt-smithii
Dysoxylum pachypodum
Calathea dodsonii
Magnolia silvioi
Thymus karamarianicus
Viola athois
Cipocereus pusilliflorus
Lithocarpus burkillii
Callianthemum kernerianum
Lecythis barnebyi
Allochrusa takhtajanii
Manettia pichinchensis
Nepenthes klossii
Diospyros esmereg
Triolena campii
Sideroxylon altamiranoi
Heritiera globosa
Ladenbergia acutifolia
Astragalus cavanillesii
Pinus pityusa
Hydriastele vitiensis
Aglaia rubiginosa
Allophylus chirindensis
Bentinckia condapanna
Cobaea aequatoriensis
Pandanus aldabraensis
Prunus grisea
Arctostaphylos catalinae
Valeriana secunda
Lepidium arbuscula
Parodia fusca
Aiouea macedoana
Pentacalia palaciosii
Eugenia hastilis
Radermachera ramiflora
Crossandra friesiorum
Discocactus cangaensis
Psychotria glandulifera
Burretiodendron tonkinense
Aulacocalyx camerooniana
Euphorbia guillemetii
Hemipilia limprichtii
Exodeconus miersii
Callitris preissii
Ardisia darienensis
Phinaea ecuadorana
Pouteria retinervis
Nitella annamalaiensis
Podocarpus polyspermus
Allium parciflorum
Cephalotaxus hainanensis
Podocarpus glomeratus
Drypetes rugulosa
Lithocarpus erythrocarpus
Mimosa brevipetiolata
Burmeistera cuyujensis
Hatiora herminiae
Diplotaxis siettiana
Brassica hilarionis
Bulbostylis fusiformis
Begonia asympeltata
Mamillariella geniculata
Rhododendron wilhelminae
Asplenium cardiophyllum
Pittosporum coriaceum
Ossiculum aurantiacum
Dipterocarpus alatus
Lithocarpus kingianus
Aechmea downsiana
Abies durangensis
Pausinystalia lane-poolei
Symplocos calycodactylos
Potamogeton crispus
Meryta pauciflora
Claoxylon linostachys
Nesaea pedicellata
Solanum inaequale
Cyphostemma eminii
Orania longisquama
Lasiochlamys trichostemona
Cuscuta kilimanjari
Mammillaria oteroi
Centaurodendron dracaenoides
Combretum esteriense
Eulophia taiwanensis
Psephellus eugenii
Rollinia pachyantha
Cyathea heliophila
Garcinia eugeniaefolia
Cynorkis pinguicularioides
Castanopsis kawakamii
Rollinia rufinervis
Nesogordonia monantha
Maesa velutina
Psychotria cyathicalyx
Aglaia amplexicaulis
Crypsis schoenoides
Lactuca alpestris
Bunchosia hartwegiana
Amomum stenophyllum
Pittosporum gatopense
Poupartia pubescens
Dactylorhiza maurusia
Meriania drakei
Cirsium setidens
Byrsophyllum ellipticum
