genus,species,common_name,regions
Shorea,spp.,meranti;lauan;lawaan;seraya;balau;bangkirai;philippine mahogany;balau / selangan batu in myanmar;marsolok (s. platyclados) in indonesia,IDN;LAO;MMR;VNM;CHN
Dalbergia,spp.,rio;bahia;brazilian rosewood;sheesham;palisander de rio grande;or jacarandá;cocobolo;sua;indian rosewood or sonokeling,LAO;MMR;PAN;VNM;BRA;CHN
Pinus,koraiensis,pine;korean pine;korean cedar,RUS;CHN
Quercus,mongolica,oak,RUS;CHN
Pterocarpus,spp.,padauk;padouk;mukwa;narra;amboyna,LAO;MMR;VNM
Pericopsis,spp.,african teak;afromosia;afrormosia;satinwood;yellow satinwood,CHN
Dipterocarpus,spp.,keruing;asian mahogany;gurjan,IDN;LAO;MMR;VNM
Swietenia,spp.,mahogany,PAN;PER;CHN
Palaquium,spp.,nyatoh,PAN;PER;CHN
Canarium,spp.,,PAN;PER;CHN
Hura,crepitans,ochoó,BOL
Handroanthus,spp.,tajibo;and ipê-roxo,BOL;BRA;CHN
Amburana,cearensis,roble,BOL
Machaerium,scleroxylon,morado,BOL
Cedrela,odorata,spanish cedar,BOL;PER;PAN;CHN
Centrolibium,microchaete,tarara,BOL
Hymenaea,courbaril,jatobá;paquió,BRA;BOL;CHN
Ceiba,pentandra,hoja de yuca;kapok;lupula,BOL;PER;CHN
Triplochiton,scleroxylon,ayous,CMR;CHN
Chlorophora,spp.,iroko,CMR;CHN
Entandrophragma,cylindricum,sapele mahogany,CMR;CMR;COD;CHN
Nauclea,spp.,bilinga,CMR;CHN
Guibourtia,spp.,bubinga,CMR;GAB;CHN
Prioria,copaifera,cativo,PER;PAN
Cariniana,pyriformis,abarco;colombian mahogany,PER
Dryobalanops,aromatica,kapur,IDN;CHN
Eusideroxylon,zwageri,ulin;borneo ironwood,IDN;CHN
Gonostylus,spp.,ramin,IDN;MMR;CHN
Afzelia,xylocarpa,afzelia,LAO
Xylia,xylocarpa,pyinkado,LAO;MMR;VNM
Hopea,spp.,merawan,LAO
Intsia,spp.,merbau,LAO;MYS;MMR;PNG;SLB;CHN
Anisoptera,spp.,mersawa,LAO
Chamaecyparis,spp.,hinoki cypress,LAO
Neobalanacarpus,hemii,chengal,MYS
Tectona,grandis,teak,MMR;CHN
Sindora,spp.,sepetir,MMR;VNM
Peltogyne,purpurea,purple heart,PAN
Vitex,cooperi,fiddlewood,PAN
Dipteryx,odorata,cumarú;brazilian teak;almendrillo,PER;BOL;CHN
Myroxylon,balsamum,estoraque,PER;CHN
Fraxinus,mandshurica,manchurian ash,RUS;CHN
Tilia,amurensis,amur linden;manchurian linden,RUS;CHN
Ulmus,japonica,japanese elm,RUS;CHN
Erythrophleum,fordii,lim,VNM
Araucaria,angustifolia,araucária,BRA;CHN
Caesalpinia,echinata,native brazilwood;pernambuco,BRA;CHN
Manilkara,huberi,maçaranduba,BRA;CHN
Millettia,laurentii,wengué;wenge,CHN
Aucoumea,klaineana,okoume,GAB;CHN
Baillonella,toxiperma,moabi,GAB;CHN
Taxus,wallichiana,himalayan yew;japanese yew;chinese yew,MMR;CHN
Pometia,pinnata,taun,PNG;SLB;CHN
Calophyllum,inophyllum,bintangor,PNG;SLB;CHN
Abies,guatemalensis,guatemalan fir;mexican fir,SLV
Aquilaria,spp.,agarwood;eaglewood;aloewood;agar;oud;oudh,SLV
Araucaria,araucana,monkey puzzle tree;chilean pine,SLV
Bulnesia,sarmientoi,holy wood;verawood;lignum vitae;paraguay lignum vitae;argentine lignum vitae;guaiac;guaiac wood,SLV
Diospyros,spp.,ebony,
Dipteryx,panamensis,almendro;tonka bean tree,
Fitzroya,cupressoides,patagonian cypress;chilean false larch,
Guaiacum,angustifolia,sonora guaiacum;lignum-vitae;pockwood;wood of life;tree of life;ironwood,
Osyris,lanceolata,east african sandalwood,
Pilgerodendron,uviferum,guaitecas cypress;chilean cedar;patagonian cypress;patagonian pilgerodendron,
Platymiscium,pleiostachyum,platymiscium,
Podocarpus,neriifolius,brown pine;black pine podocarp;parlatore’s podocarp;yellow wood,
Prunus,Africana,african cherry;african stinkwood;bitter almond;blackwood;ironwood;pygeum africanum;red stinkwood;red strinkhout,
Pterocarpus,santalinus,agaru;red sanders;red sandalwood;sandalwood;saunderswood,
