sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Aa nervosa,Aa,nervosa,,,,,
Abarema abbottii,Abarema,abbottii,,,,,
Abarema alexandri,Abarema,alexandri,,,,,
Abarema bigemina,Abarema,bigemina,,,,,
Abarema callejasii,Abarema,callejasii,,,,,
Abarema centiflora,Abarema,centiflora,,,,,
Abarema cochleata,Abarema,cochleata,,,,,
Abarema cochliocarpos,Abarema,cochliocarpos,,,,,
Abarema commutata,Abarema,commutata,,,,,
Abarema curvicarpa,Abarema,curvicarpa,,,,,
Abarema filamentosa,Abarema,filamentosa,,,,,
Abarema ganymedea,Abarema,ganymedea,,,,,
Abarema josephi,Abarema,josephi,,,,,
Abarema jupunba,Abarema,jupunba,,,,,
Abarema killipii,Abarema,killipii,,,,,
Abarema lehmannii,Abarema,lehmannii,,,,,
Abarema leucophylla,Abarema,leucophylla,,,,,
Abarema longipedunculata,Abarema,longipedunculata,,,,,
Abarema moniliformis,Abarema,moniliformis,,,,,
Abarema obovata,Abarema,obovata,,,,,
Abarema oxyphyllidia,Abarema,oxyphyllidia,,,,,
Abarema racemiflora,Abarema,racemiflora,,,,,
Abarema rodriguesii,Abarema,rodriguesii,,,,,
Abarema troyana,Abarema,troyana,,,,,
Abarema turbinata,Abarema,turbinata,,,,,
Abarema vaupesensis,Abarema,vaupesensis,,,,,
Abarema villifera,Abarema,villifera,,,,,
Abdominea minimiflora,Abdominea,minimiflora,,,,,
Abdulmajidia chaniana,Abdulmajidia,chaniana,,,,,
Abdulmajidia maxwelliana,Abdulmajidia,maxwelliana,,,,,
Abeliophyllum distichum,Abeliophyllum,distichum,,,,,
Abies alba,Abies,alba,Pinaceae,,,,
Abies amabilis,Abies,amabilis,Pinaceae,,,,
Abies balsamea,Abies,balsamea,Pinaceae,,,,
Abies beshanzuensis,Abies,beshanzuensis,Pinaceae,,,,
Abies bracteata,Abies,bracteata,Pinaceae,,,,
Abies cephalonica,Abies,cephalonica,Pinaceae,,,,
Abies chensiensis,Abies,chensiensis,Pinaceae,,,,
Abies cilicica,Abies,cilicica,Pinaceae,,,,
Abies coahuilensis,Abies,coahuilensis,Pinaceae,,,,
Abies concolor,Abies,concolor,Pinaceae,,,,
Abies delavayi,Abies,delavayi,Pinaceae,,,,
Abies densa,Abies,densa,Pinaceae,,,,
Abies durangensis,Abies,durangensis,Pinaceae,,,,
Abies ernestii,Abies,ernestii,Pinaceae,,,,
Abies fabri,Abies,fabri,Pinaceae,,,,
Abies fanjingshanensis,Abies,fanjingshanensis,Pinaceae,,,,
Abies fargesii,Abies,fargesii,Pinaceae,,,,
Abies faxoniana,Abies,faxoniana,Pinaceae,,,,
Abies ferreana,Abies,ferreana,Pinaceae,,,,
Abies firma,Abies,firma,Pinaceae,,,,
Abies forrestii,Abies,forrestii,Pinaceae,,,,
Abies fraseri,Abies,fraseri,Pinaceae,,,,
Abies georgei,Abies,georgei,Pinaceae,,,,
Abies gracilis,Abies,gracilis,Pinaceae,,,,
Abies grandis,Abies,grandis,Pinaceae,,,,
Abies guatemalensis,Abies,guatemalensis,Pinaceae,,,,
Abies hickelii,Abies,hickelii,Pinaceae,,,,
Abies hidalgensis,Abies,hidalgensis,Pinaceae,,,,
Abies holophylla,Abies,holophylla,Pinaceae,,,,
Abies homolepis,Abies,homolepis,Pinaceae,,,,
Abies jaliscana,Abies,jaliscana,Pinaceae,,,,
Abies kawakamii,Abies,kawakamii,Pinaceae,,,,
Abies koreana,Abies,koreana,Pinaceae,,,,
Abies lasiocarpa,Abies,lasiocarpa,Pinaceae,,,,
Abies macrocarpa,Abies,macrocarpa,Pinaceae,,,,
Abies magnifica,Abies,magnifica,Pinaceae,,,,
Abies mariesii,Abies,mariesii,Pinaceae,,,,
Abies marocana,Abies,marocana,Pinaceae,,,,
Abies mayriana,Abies,mayriana,Pinaceae,,,,
Abies mexicana,Abies,mexicana,Pinaceae,,,,
Abies motuoensis,Abies,motuoensis,Pinaceae,,,,
Abies nebrodensis,Abies,nebrodensis,Pinaceae,,,,
Abies nemorensis,Abies,nemorensis,Pinaceae,,,,
Abies nephrolepis,Abies,nephrolepis,Pinaceae,,,,
Abies nordmanniana,Abies,nordmanniana,Pinaceae,,,,
Abies nukiangensis,Abies,nukiangensis,Pinaceae,,,,
Abies numidica,Abies,numidica,Pinaceae,,,,
Abies oaxacana,Abies,oaxacana,Pinaceae,,,,
Abies phanerolepis,Abies,phanerolepis,Pinaceae,,,,
Abies pindrow,Abies,pindrow,Pinaceae,,,,
Abies pinsapo,Abies,pinsapo,Pinaceae,,,,
Abies procera,Abies,procera,Pinaceae,,,,
Abies recurvata,Abies,recurvata,Pinaceae,,,,
Abies religiosa,Abies,religiosa,Pinaceae,,,,
Abies sachalinensis,Abies,sachalinensis,Pinaceae,,,,
Abies sibirica,Abies,sibirica,Pinaceae,,,,
Abies sikokiana,Abies,sikokiana,Pinaceae,,,,
Abies smithii,Abies,smithii,Pinaceae,,,,
Abies spectabilis,Abies,spectabilis,Pinaceae,,,,
Abies squamata,Abies,squamata,Pinaceae,,,,
Abies sutchuensis,Abies,sutchuensis,Pinaceae,,,,
Abies umbellata,Abies,umbellata,Pinaceae,,,,
Abies veitchii,Abies,veitchii,Pinaceae,,,,
Abies vejarii,Abies,vejarii,Pinaceae,,,,
Abies yuanbaoshanensis,Abies,yuanbaoshanensis,Pinaceae,,,,
Abies ziyuanensis,Abies,ziyuanensis,Pinaceae,,,,
Abrahamia grandidieri,Abrahamia,grandidieri,,,,,
Abrahamia sericea,Abrahamia,sericea,,,,,
Abrus aureus,Abrus,aureus,,,,,
Abrus fruticulosus,Abrus,fruticulosus,,,,,
Abrus madagascariensis,Abrus,madagascariensis,,,,,
Abrus sambiranensis,Abrus,sambiranensis,,,,,
Abrus schimperi,Abrus,schimperi,,,,,
Abutilon depauperatum,Abutilon,depauperatum,,,,,
Abutilon eremitopetalum,Abutilon,eremitopetalum,,,,,
Abutilon menziesii,Abutilon,menziesii,,,,,
Abutilon sachetianum,Abutilon,sachetianum,,,,,
Abutilon sandwicense,Abutilon,sandwicense,,,,,
Acaena exigua,Acaena,exigua,,,,,
Acalypha andina,Acalypha,andina,,,,,
Acalypha cupricola,Acalypha,cupricola,,,,,
Acalypha dictyoneura,Acalypha,dictyoneura,,,,,
Acalypha dikuluwensis,Acalypha,dikuluwensis,,,,,
Acalypha ecuadorica,Acalypha,ecuadorica,,,,,
Acalypha eggersii,Acalypha,eggersii,,,,,
Acalypha grisebachiana,Acalypha,grisebachiana,,,,,
Acalypha guineensis,Acalypha,guineensis,,,,,
Acalypha hontauyuensis,Acalypha,hontauyuensis,,,,,
Acalypha lepinei,Acalypha,lepinei,,,,,
Acalypha parvula,Acalypha,parvula,,,,,
Acalypha raivavensis,Acalypha,raivavensis,,,,,
Acalypha rubrinervis,Acalypha,rubrinervis,,,,,
Acalypha schimpffii,Acalypha,schimpffii,,,,,
Acalypha suirenbiensis,Acalypha,suirenbiensis,,,,,
Acalypha tunguraguae,Acalypha,tunguraguae,,,,,
Acalypha wilderi,Acalypha,wilderi,,,,,
Acampe congesta,Acampe,congesta,,,,,
Acampe multiflora,Acampe,multiflora,,,,,
Acampe papillosa,Acampe,papillosa,,,,,
Acampe praemorsa,Acampe,praemorsa,,,,,
Acampe rigida,Acampe,rigida,,,,,
Acampe wightiana,Acampe,wightiana,,,,,
Acanthephippium bicolor,Acanthephippium,bicolor,,,,,
Acanthephippium curtisii,Acanthephippium,curtisii,,,,,
Acanthephippium gougahense,Acanthephippium,gougahense,,,,,
Acanthephippium javanicum,Acanthephippium,javanicum,,,,,
Acanthephippium lycaste,Acanthephippium,lycaste,,,,,
Acanthephippium parviflorum,Acanthephippium,parviflorum,,,,,
Acanthephippium pictum,Acanthephippium,pictum,,,,,
Acanthephippium sinense,Acanthephippium,sinense,,,,,
Acanthephippium striatum,Acanthephippium,striatum,,,,,
Acanthephippium sylhetnese,Acanthephippium,sylhetnese,,,,,
Acanthephippium unguiculatum,Acanthephippium,unguiculatum,,,,,
Acanthephippium vitiense,Acanthephippium,vitiense,,,,,
Acanthephippium yamamotoi,Acanthephippium,yamamotoi,,,,,
Acanthocalycium ferrarii,Acanthocalycium,ferrarii,,,,,
Acanthocalycium klimpelianum,Acanthocalycium,klimpelianum,,,,,
Acanthocalycium spiniflorum,Acanthocalycium,spiniflorum,,,,,
Acanthocereus baxaniensis,Acanthocereus,baxaniensis,,,,,
Acanthocereus colombianus,Acanthocereus,colombianus,,,,,
Acanthocereus horridus,Acanthocereus,horridus,,,,,
Acanthocereus occidentalis,Acanthocereus,occidentalis,,,,,
Acanthocereus subinermis,Acanthocereus,subinermis,,,,,
Acanthocereus tetragonus,Acanthocereus,tetragonus,,,,,
Acanthochlamys bracteata,Acanthochlamys,bracteata,,,,,
Acantholimon gabrieljaniae,Acantholimon,gabrieljaniae,,,,,
Acantholimon vedicum,Acantholimon,vedicum,,,,,
Acanthopale decempedalis,Acanthopale,decempedalis,,,,,
Acanthopale laxiflora,Acanthopale,laxiflora,,,,,
Acanthopale macrocarpa,Acanthopale,macrocarpa,,,,,
Acanthophippium mantinianum,Acanthophippium,mantinianum,,,,,
Acanthophoenix rubra,Acanthophoenix,rubra,,,,,
Acanthosyris annonagustata,Acanthosyris,annonagustata,,,,,
Acanthosyris asipapote,Acanthosyris,asipapote,,,,,
Acanthus austromontanus,Acanthus,austromontanus,,,,,
Acanthus ebracteatus,Acanthus,ebracteatus,,,,,
Acanthus ilicifolius,Acanthus,ilicifolius,,,,,
Acanthus kulalensis,Acanthus,kulalensis,,,,,
Acanthus latisepalus,Acanthus,latisepalus,,,,,
Acanthus montanus,Acanthus,montanus,,,,,
Acanthus volubilis,Acanthus,volubilis,,,,,
Acca lanuginosa,Acca,lanuginosa,,,,,
Acer amplum,Acer,amplum,Sapindaceae,,,,
Acer binzayedii,Acer,binzayedii,Sapindaceae,,,,
Acer buergerianum,Acer,buergerianum,Sapindaceae,,,,
Acer caesium,Acer,caesium,Sapindaceae,,,,
Acer campestre,Acer,campestre,Sapindaceae,,,,
Acer cappadocicum,Acer,cappadocicum,Sapindaceae,,,,
Acer circinatum,Acer,circinatum,Sapindaceae,,,,
Acer drummondi,Acer,drummondi,Sapindaceae,,,,
Acer duplicatoserratum,Acer,duplicatoserratum,Sapindaceae,,,,
Acer erythranthum,Acer,erythranthum,Sapindaceae,,,,
Acer floridanum,Acer,floridanum,Sapindaceae,,,,
Acer formosanum,Acer,formosanum,Sapindaceae,,,,
Acer glabrum,Acer,glabrum,Sapindaceae,,,,
Acer grandidentatum,Acer,grandidentatum,Sapindaceae,,,,
Acer heldreichii,Acer,heldreichii,Sapindaceae,,,,
Acer leipoense,Acer,leipoense,Sapindaceae,,,,
Acer leucoderme,Acer,leucoderme,Sapindaceae,,,,
Acer lobelii,Acer,lobelii,Sapindaceae,,,,
Acer macrophyllum,Acer,macrophyllum,Sapindaceae,,,,
Acer membranaceum,Acer,membranaceum,Sapindaceae,,,,
Acer miaotaiense,Acer,miaotaiense,Sapindaceae,,,,
Acer microcarpum,Acer,microcarpum,Sapindaceae,,,,
Acer monspessulanum,Acer,monspessulanum,Sapindaceae,,,,
Acer negundo,Acer,negundo,Sapindaceae,,,,
Acer nigrum,Acer,nigrum,Sapindaceae,,,,
Acer oblongum,Acer,oblongum,Sapindaceae,,,,
Acer obtusifolium,Acer,obtusifolium,Sapindaceae,,,,
Acer palmatum,Acer,palmatum,Sapindaceae,,,,
Acer pensylvanicum,Acer,pensylvanicum,Sapindaceae,,,,
Acer pentapomicum,Acer,pentapomicum,Sapindaceae,,,,
Acer pictum,Acer,pictum,Sapindaceae,,,,
Acer platanoides,Acer,platanoides,Sapindaceae,,,,
Acer platanus,Acer,platanus,Sapindaceae,,,,
Acer pseudoplatanus,Acer,pseudoplatanus,Sapindaceae,,,,
Acer rubrum,Acer,rubrum,Sapindaceae,,,,
Acer saccharinum,Acer,saccharinum,Sapindaceae,,,,
