sc_name,genus,species,family,iucn_status_code,common_names,regions,wwf_high_risk_flag
Aa nervosa,Aa,nervosa,,,,CHL,
Abarema abbottii,Abarema,abbottii,,,,,
Abarema alexandri,Abarema,alexandri,,,,,
Abarema bigemina,Abarema,bigemina,,,,,
Abarema callejasii,Abarema,callejasii,,,,,
Abarema centiflora,Abarema,centiflora,,,,,
Abarema cochleata,Abarema,cochleata,,,,,
Abarema cochliocarpos,Abarema,cochliocarpos,,,,,
Abarema commutata,Abarema,commutata,,,,,
Abarema curvicarpa,Abarema,curvicarpa,,,orelha de negro,,
Abarema filamentosa,Abarema,filamentosa,,,,,
Abarema ganymedea,Abarema,ganymedea,,,,,
Abarema josephi,Abarema,josephi,,,,,
Abarema jupunba,Abarema,jupunba,,,huruasa,GUY,
Abarema killipii,Abarema,killipii,,,,,
Abarema lehmannii,Abarema,lehmannii,,,,,
Abarema leucophylla,Abarema,leucophylla,,,,,
Abarema longipedunculata,Abarema,longipedunculata,,,,,
Abarema moniliformis,Abarema,moniliformis,,,,,
Abarema obovata,Abarema,obovata,,,,,
Abarema oxyphyllidia,Abarema,oxyphyllidia,,,,,
Abarema racemiflora,Abarema,racemiflora,,,,,
Abarema rodriguesii,Abarema,rodriguesii,,,,,
Abarema troyana,Abarema,troyana,,,,,
Abarema turbinata,Abarema,turbinata,,,,,
Abarema vaupesensis,Abarema,vaupesensis,,,,,
Abarema villifera,Abarema,villifera,,,,,
Abdominea minimiflora,Abdominea,minimiflora,,,,IDN;MYS;THA,
Abdulmajidia chaniana,Abdulmajidia,chaniana,,,,,
Abdulmajidia maxwelliana,Abdulmajidia,maxwelliana,,,,,
Abeliophyllum distichum,Abeliophyllum,distichum,,,white forsythia;mi-seon-na-mu,,
Abies alba,Abies,alba,Pinaceae,,weisstanne;silver fir,,
Abies amabilis,Abies,amabilis,Pinaceae,,lovley fir;cascade fir;pacific silver fir,,
Abies balsamea,Abies,balsamea,Pinaceae,,sapin balsamier;balsam fir;canadian fir,,
Abies beshanzuensis,Abies,beshanzuensis,Pinaceae,,baishan fir;baishanzu lengshan,,
Abies bracteata,Abies,bracteata,Pinaceae,,bristlecone fir;santa lucia fir,,
Abies cephalonica,Abies,cephalonica,Pinaceae,,kukunaria;grecian fir;greek fir,,
Abies chensiensis,Abies,chensiensis,Pinaceae,,shensi fir;qin ling leng shan;salween fir,,
Abies cilicica,Abies,cilicica,Pinaceae,,cilician fir;syrian fir,,
Abies coahuilensis,Abies,coahuilensis,Pinaceae,,,,
Abies concolor,Abies,concolor,Pinaceae,,california white fir;white fir;low's fir;colorado fir,,
Abies delavayi,Abies,delavayi,Pinaceae,,cang shan leng shan;medoc fir;delavay's fir;fansipan fir;nukiang fir,,
Abies densa,Abies,densa,Pinaceae,,sikkim fir;gobra;salla;gobria,,
Abies durangensis,Abies,durangensis,Pinaceae,,durango fir,,
Abies ernestii,Abies,ernestii,Pinaceae,,,,
Abies fabri,Abies,fabri,Pinaceae,,faber’s fir;leng shan;minshan fir;pao shan,,
Abies fanjingshanensis,Abies,fanjingshanensis,Pinaceae,,fan jing lengshan,,
Abies fargesii,Abies,fargesii,Pinaceae,,farges' fir;bashan lengshan,,
