hscode_6,Description,keywords,sc_names
440111,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms && Coniferous,twigs;pellets or similar;chips;sawdust;similar;scrap;coniferous;billets;particles;chips or particles;faggots;similar forms;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs,
440112,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms && Nonconiferous,twigs;pellets or similar;chips;sawdust;similar;scrap;nonconiferous;billets;particles;chips or particles;faggots;similar forms;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs,
440121,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Coniferous,twigs;pellets or similar;chips;sawdust;similar;scrap;coniferous;billets;particles;chips or particles;faggots;similar forms;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs,
440122,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood in chips or particles && Nonconiferous,twigs;pellets or similar;chips;sawdust;similar;scrap;nonconiferous;billets;particles;chips or particles;faggots;similar forms;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs,
440131,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Wood pellets,twigs;pellets or similar;chips;sawdust;similar;scrap;billets;particles;chips or particles;faggots;similar forms;wood pellets;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs,
440139,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Artificial fire logs composed of wax && sawdust &&  with or without added materials && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Sawdust && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Shavings && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  agglomerated in logs &&  briquettes &&  pellets or similar forms && Other && Other && Other,twigs;artificial;composed;pellets or similar;chips;sawdust;scrap;similar;fire;billets;particles;chips or particles;wax;artificial fire;faggots;similar forms;logs composed;added materials;composed of wax;wood waste;fuel wood;wood;pellets;materials;waste;artificial fire logs;fire logs composed;agglomerated;added;fire logs;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs;shavings,
440140,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Sawdust && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Shavings && Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms && Sawdust && wood waste && scrap &&  not agglomerated && Other,twigs;pellets or similar;chips;sawdust;similar;scrap;billets;particles;chips or particles;faggots;similar forms;wood waste;fuel wood;wood;pellets;waste;agglomerated;fuel;agglomerated in logs;wood in chips;forms;briquettes;logs;shavings,
440210,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Of bamboo,including shell;wood;nut;wood charcoal;including;nut charcoal;agglomerated;charcoal;shell;shell or nut;bamboo,
440290,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated && Other,including shell;wood;nut;wood charcoal;including;nut charcoal;agglomerated;charcoal;shell;shell or nut,
440311,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Telephone &&  telegraph && electrical power poles && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Fence posts && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Poles &&  piles && posts && Other && Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared && Treated with paint &&  stain &&  creosote or other preservatives && Coniferous && Other,treated;fence;stain;preservatives;roughly squared;power;bark or sap;bark;coniferous;stripped of bark;telegraph;piles;rough;fence posts;poles;electrical;stripped;treated with paint;power poles;squared;electrical power;wood;sap;sap wood;telephone;creosote;posts;electrical power poles;paint;roughly,
