HTS Number,Indent,Description
0101,0,Live horses &&  asses &&  mules && hinnies
0101,1,Horses
0101.21,2,Purebred breeding animals
0101.21.00.10,3,Males
0101.21.00.20,3,Females
0101.29,2,Other
0101.29.00.10,3,Imported for immediate slaughter
0101.29.00.90,3,Other
0101.30,1,Asses
0101.90,1,Other
0101.90.30,2,Imported for immediate slaughter
0101.90.40,2,Other
0102,0,Live bovine animals
0102,1,Cattle
0102.21,2,Purebred breeding animals
0102.21,3,Dairy
0102.21.00.10,4,Male
0102.21.00.20,4,Female
0102.21,3,Other
0102.21.00.30,4,Male
0102.21.00.50,4,Female
0102.29,2,Other
0102.29.20,3,Cows imported specially for dairy purposes
0102.29.20.11,4,Weighing less than 90 kg each
0102.29.20.12,4,Weighing 90 kg or more each
0102.29.40,3,Other
0102.29.40,4,Weighing less than 90 kg each
0102.29.40.24,5,Male
0102.29.40.28,5,Female
0102.29.40,4,Weighing 90 kg or more but less than 200 kg each
0102.29.40.34,5,Male
0102.29.40.38,5,Female
0102.29.40,4,Weighing 200 kg or more but less than 320 kg each
0102.29.40.54,5,Male
0102.29.40.58,5,Female
0102.29.40,4,Weighing 320 kg or more each
0102.29.40,5,For immediate slaughter
0102.29.40.62,6,Steers
0102.29.40.64,6,Bulls
0102.29.40.66,6,Cows
0102.29.40.68,6,Heifers
0102.29.40,5,For breeding
0102.29.40.72,6,Male
0102.29.40.74,6,Female
0102.29.40,5,Other
0102.29.40.82,6,Male
0102.29.40.84,6,Female
0102,1,Buffalo
0102.31,2,Purebred breeding animals
0102.31.00.10,3,Male
0102.31.00.20,3,Female
0102.39,2,Other
0102.39.00.10,3,Bison
0102.39.00.10,3,Other
0102.39.00.10,4,Weighing less than 90 kg each
0102.39.00.24,5,Male
0102.39.00.28,5,Female
0102.39.00.10,4,Weighing 90 kg or more but less than 200 kg each
0102.39.00.34,5,Male
0102.39.00.38,5,Female
0102.39.00.10,4,Weighing 200 kg or more but less than 320 kg each
0102.39.00.54,5,Male
0102.39.00.58,5,Female
0102.39.00.10,4,Weighing 320 kg or more each
0102.39.00.61,5,For immediate slaughter
0102.39.00.61,5,For breeding
0102.39.00.72,6,Male
0102.39.00.74,6,Female
0102.39.00.61,5,Other
0102.39.00.82,6,Male
0102.39.00.84,6,Female
0102.90,1,Other
0103,0,Live swine
0103.10,1,Purebred breeding animals
0103.10,1,Other
0103.91,2,Weighing less than 50 kg each
0103.91.00.10,3,Weighing less than 7 kg each
0103.91.00.20,3,Weighing 7 kg or more but less than 23 kg each
0103.91.00.30,3,Weighing 23 kg or more but less than 50 kg each
0103.92,2,Weighing 50 kg or more each
0103.92.00.10,3,Imported for immediate slaughter
0103.92.00.20,3,Breeding animals other than purebred breeding animals
0103.92.00.91,3,Other
0104,0,Live sheep && goats
0104.10,1,Sheep
0104.20,1,Goats
0105,0,Live poultry of the following kinds: Chickens &&  ducks &&  geese &&  turkeys && guineas
0105,1,Weighing not more than 185 g
0105.11,2,Chickens
0105.11,3,Breeding stock &&  whether or not purebred
0105.11.00.10,4,Layer-type (egg-type)
0105.11.00.20,4,Broiler-type (meat-type)
0105.11.00.40,3,Other
0105.12,2,Turkeys
0105.13,2,Ducks
0105.14,2,Geese
0105.15,2,Guinea fowls
0105,1,Other
0105.94,2,Chickens
0105.99,2,Other
0106,0,Other live animals
0106,1,Mammals
0106.11,2,Primates
0106.12.01,2,Whales &&  dolphins && porpoises (mammals of the order Cetacea); manatees && dugongs (mammals of the order Sirenia); seals &&  sea lions && walruses (mammals of the suborder Pinnipedia)
0106.13,2,Camels && other camelids (Camelidae)
0106.14,2,Rabbits && hares
0106.19,2,Other
0106.19.30,3,Foxes
0106.19.91,3,Other
0106.19.91.20,4,Dogs
0106.19.91.95,4,Other
0106.20,1,Reptiles (including snakes && turtles)
0106.20,1,Birds
0106.31,2,Birds of prey
0106.32,2,Psittaciformes (including parrots &&  parakeets &&  macaws && cockatoos)
0106.33,2,Ostriches; emus (Dromaius novaehollandiae)
0106.39.01,2,Other
0106.20,1,Insects
0106.41,2,Bees
0106.49,2,Other
0106.49.00.10,3,Leaf cutter bee larvae
0106.49.00.90,3,Other
0106.90.01,1,Other
0106.90.01.10,2,Worms
0106.90.01.20,2,Bait (other than worms)
0106.90.01.80,2,Other
0201,0,Meat of bovine animals &&  fresh or chilled
0201.10,1,Carcasses && half-carcasses
0201.10.05,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0201.10.05.10,3,Veal
0201.10.05.90,3,Other
0201.10.10,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0201.10.10.10,3,Veal
0201.10.10.90,3,Other
0201.10.50,2,Other
0201.10.50.10,3,Veal
0201.10.50.90,3,Other
0201.20,1,Other cuts with bone in
0201.20,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0201.20,3,Processed
0201.20.02,4,High-quality beef cuts
0201.20.04,4,Other
0201.20.06,3,Other
0201.20,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0201.20,3,Processed
0201.20.10,4,High-quality beef cuts
0201.20.30,4,Other
0201.20.50,3,Other
0201.20.50.15,4,Fresh or chilled bone in veal cuts
0201.20.50.15,4,Other
0201.20.50.25,5,Rib cuts
0201.20.50.35,5,Chuck cuts
0201.20.50.45,5,Loin cuts
0201.20.50.55,5,Brisket cuts
0201.20.50.65,5,Hip cuts
0201.20.50.75,5,Flank or plate cuts
0201.20.50.85,5,Other
0201.20.80,2,Other
0201.20.80.10,3,Bison
0201.20.80.90,3,Other
0201.30,1,Boneless
0201.30,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0201.30,3,Processed
0201.30.02,4,High-quality beef cuts
0201.30.04,4,Other
0201.30.06,3,Other
0201.30,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0201.30,3,Processed
0201.30.10,4,High-quality beef cuts
0201.30.30,4,Other
0201.30.50,3,Other
0201.30.50.15,4,Fresh or chilled boneless veal cuts
0201.30.50.15,4,Other
0201.30.50.25,5,Rib cuts
0201.30.50.35,5,Chuck cuts
0201.30.50.45,5,Loin cuts
0201.30.50.55,5,Brisket cuts
0201.30.50.65,5,Hip cuts
0201.30.50.75,5,Flank or plate cuts
0201.30.50.85,5,Other
0201.30.80,2,Other
0201.30.80.10,3,Bison
0201.30.80.90,3,Other
0202,0,Meat of bovine animals &&  frozen
0202.10,1,Carcasses && half-carcasses
0202.10.05,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0202.10.05.10,3,Veal
0202.10.05.90,3,Other
0202.10.10,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0202.10.10.10,3,Veal
0202.10.10.90,3,Other
0202.10.50,2,Other
0202.10.50.10,3,Veal
0202.10.50.90,3,Other
0202.20,1,Other cuts with bone in
0202.20,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0202.20,3,Processed
0202.20.02,4,High-quality beef cuts
0202.20.04,4,Other
0202.20.06,3,Other
0202.20,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0202.20,3,Processed
0202.20.10,4,High-quality beef cuts
0202.20.30,4,Other
0202.20.50,3,Other
0202.20.50.25,4,Rib cuts
0202.20.50.35,4,Chuck cuts
0202.20.50.45,4,Loin cuts
0202.20.50.55,4,Brisket cuts
0202.20.50.65,4,Hip cuts
0202.20.50.75,4,Flank or plate cuts
0202.20.50.85,4,Other
0202.20.80,2,Other
0202.30,1,Boneless
0202.30,2,Described in general note 15 of the tariff schedule && entered pursuant to its provisions
0202.30,3,Processed
0202.30.02,4,High-quality beef cuts
0202.30.04,4,Other
0202.30.06,3,Other
0202.30,2,Described in additional U.S. note 3 to this chapter && entered pursuant to its provisions
0202.30,3,Processed
0202.30.10,4,High-quality beef cuts
0202.30.30,4,Other
0202.30.50,3,Other
0202.30.50.15,4,Frozen boneless veal cuts
0202.30.50.15,4,Other
0202.30.50.25,5,Rib cuts
0202.30.50.35,5,Chuck cuts
0202.30.50.45,5,Loin cuts
0202.30.50.55,5,Brisket cuts
0202.30.50.65,5,Hip cuts
0202.30.50.75,5,Flank or plate cuts
0202.30.50.85,5,Other
0202.30.80,2,Other
0203,0,Meat of swine &&  fresh &&  chilled &&  or frozen
0203,1,Fresh or chilled
0203.11,2,Carcasses && half-carcasses
0203.12,2,Hams &&  shoulders && cuts thereof &&  with bone in
0203.12.10,3,Processed
0203.12.10.10,4,Hams && cuts thereof
0203.12.10.20,4,Shoulders && cuts thereof
0203.12.90,3,Other
0203.12.90.10,4,Hams && cuts thereof
0203.12.90.20,4,Shoulders && cuts thereof
0203.19,2,Other
0203.19.20,3,Processed
0203.19.20.10,4,Spare ribs
0203.19.20.90,4,Other
0203.19.40,3,Other
0203.19.40.10,4,Bellies
0203.19.40.90,4,Other
0203,1,Frozen
0203.21,2,Carcasses && half-carcasses
0203.22,2,Hams &&  shoulders && cuts thereof &&  with bone in
0203.22.10,3,Processed
0203.22.90,3,Other
0203.29,2,Other
0203.29.20,3,Processed
0203.29.40,3,Other
0204,0,Meat of sheep or goats &&  fresh &&  chilled or frozen
0204.10,1,Carcasses && half-carcasses of lamb &&  fresh or chilled
0204.10,1,Other meat of sheep &&  fresh or chilled
0204.21,2,Carcasses && half-carcasses
0204.22,2,Other cuts with bone in
0204.22.20,3,Lamb
0204.22.20.10,4,Shoulders
0204.22.20.20,4,Legs
0204.22.20.30,4,Loins
0204.22.20.90,4,Other
0204.22.40,3,Other
0204.23,2,Boneless
0204.23.20,3,Lamb
0204.23.40,3,Other
0204.30,1,Carcasses && half-carcasses of lamb &&  frozen
0204.30,1,Other meat of sheep &&  frozen
0204.41,2,Carcasses && half-carcasses
0204.42,2,Other cuts with bone in
0204.42.20,3,Lamb
0204.42.20.10,4,Shoulders
0204.42.20.20,4,Legs
0204.42.20.30,4,Loins
0204.42.20.90,4,Other
0204.42.40,3,Other
0204.43,2,Boneless
0204.43.20,3,Lamb
0204.43.40,3,Other
0204.50,1,Meat of goats
0205,0,Meat of horses &&  asses &&  mules or hinnies &&  fresh &&  chilled or frozen
0206,0,Edible offal of bovine animals &&  swine &&  sheep &&  goats &&  horses &&  asses &&  mules or hinnies &&  fresh &&  chilled or frozen
0206.10,1,Of bovine animals &&  fresh or chilled
0206.10,1,Of bovine animals &&  frozen
0206.21,2,Tongues
0206.22,2,Livers
0206.29,2,Other
0206.30,1,Of swine &&  fresh or chilled
