Party,Class,Species/especies/espèces,Quotas/Cupos,Unit,Listing,Specimens,Date/Fecha,Year
Austria,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Azerbaijan,Actinopteri,Acipenser gueldenstaedtii **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser gueldenstaedtii **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser nudiventris **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser nudiventris **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser persicus **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser persicus **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser ruthenus **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser ruthenus **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser stellatus **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Acipenser stellatus **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Huso huso **,0,,II,Meat [Caspian Sea],19/03/18,2018
Azerbaijan,Actinopteri,Huso huso **,0,,II,Caviar [Caspian Sea],19/03/18,2018
Belgium,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Calabaria reinhardtii,100,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Chamaeleo gracilis,0,,II,captive-bred,19/03/18,2018
Benin,Reptilia,Chamaeleo gracilis,0,,II,ranched,19/03/18,2018
Benin,Reptilia,Chamaeleo gracilis,0,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Cyclanorbis senegalensis,200,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Kinixys belliana,200,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Kinixys erosa,100,,II,wild-taken,19/03/18,2018
Benin,Arachnida,Pandinus imperator,0,,II,wild-taken,19/03/18,2018
Benin,Arachnida,Pandinus imperator,0,,II,captive-bred,19/03/18,2018
Benin,Arachnida,Pandinus imperator +,0,,II,ranched,19/03/18,2018
Benin,Aves,Poicephalus senegalus,50,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Python regius,"22,000",,II,ranched,19/03/18,2018
Benin,Reptilia,Python regius,500,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Python sebae,50,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Python sebae,50,,II,ranched,19/03/18,2018
Benin,Reptilia,Varanus exanthematicus,"1,000",,II,skins,19/03/18,2018
Benin,Reptilia,Varanus exanthematicus,500,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Varanus exanthematicus,"5,000",,II,ranched,19/03/18,2018
Benin,Reptilia,Varanus niloticus,"4,000",,II,ranched,19/03/18,2018
Benin,Reptilia,Varanus niloticus,500,,II,wild-taken,19/03/18,2018
Benin,Reptilia,Varanus niloticus,500,,II,skins,19/03/18,2018
Benin,Reptilia,Varanus ornatus,500,,II,ranched,19/03/18,2018
Bulgaria,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Croatia,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Cyprus,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Czech Republic,Actinopteri,Anguilla anguilla,0,,II,wild-taken,19/03/18,2018
Democratic Republic of the Congo,Aves,Agapornis pullarius,"1,000",,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Aonyx capensis,100,,I/II,live,14/03/18,2018
Democratic Republic of the Congo,Aves,Balaeniceps rex,50,,II,live,14/03/18,2018
Democratic Republic of the Congo,Actinopteri,Caecobarbus geertsii,70,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercocebus agilis,300,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercocebus chrysogaster,300,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus ascanius,300,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus cephus,100,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus denti,prep.,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus dryas,25,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus hamlyni,300,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus lhoesti,300,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus mitis,200,,II,live,14/03/18,2018
Democratic Republic of the Congo,Mammalia,Cercopithecus mona,300,,II,live,16/04/18,2018
