,entity_id,is_coniferous,sc_name,family,flag,range_state,common_name
0,1,0.0,Acacia auriculiformis,Leguminosae,,,
1,2,0.0,Acacia crassicarpa,Leguminosae,,,
2,3,0.0,Acacia decurrens,Leguminosae,,,
3,4,0.0,Acacia koa,Leguminosae,,,
4,5,0.0,Acacia mangium,Leguminosae,,,
5,6,0.0,Acacia mearnsii,Leguminosae,,,
6,7,0.0,Acacia melanoxylon,Leguminosae,,,
7,8,0.0,Acacia nilotica,Leguminosae,,,
8,9,0.0,Acacia pubescens,Leguminosae,,,
9,10,0.0,Acer campestre,Sapindaceae,,,
10,11,0.0,Acer macrophyllum,Sapindaceae,,,
11,12,0.0,Acer negundo,Sapindaceae,,,
12,13,0.0,Acer palmatum,Sapindaceae,,,
13,14,0.0,Acer pensylvanicum,Sapindaceae,,,
14,15,0.0,Acer pictum,Sapindaceae,,,
15,16,0.0,Acer platanus,Sapindaceae,,,
16,17,0.0,Acer pseudoplatanus,Sapindaceae,,,
17,18,0.0,Acer rubrum,Sapindaceae,,,
18,19,0.0,Acer saccharinum,Sapindaceae,,,
19,20,0.0,Acer saccharum,Sapindaceae,,,
20,21,0.0,Acer saccharum nigrum,Sapindaceae,,,
21,22,0.0,Acer saccharum,Sapindaceae,,,
22,23,0.0,Acosmium panamense,Leguminosae,,,
23,24,0.0,Acrocarpus fraxinifolius,Leguminosae,,,
24,25,0.0,Adenanthera pavonina,Leguminosae,,,
25,26,0.0,Aesculus flava,Sapindaceae,,,
26,27,0.0,Aesculus glabra,Sapindaceae,,,
27,28,0.0,Aesculus hippocastanum,Sapindaceae,,,
28,29,0.0,Aesculus turbinata,Sapindaceae,,,
29,30,0.0,Afzelia africana,Leguminosae,,,
30,31,0.0,Afzelia bella,Leguminosae,,,
31,32,0.0,Afzelia bipindensis,Leguminosae,,,
32,33,0.0,Afzelia pachyloba,Leguminosae,,,
33,34,0.0,Afzelia quanzensis,Leguminosae,,,
34,35,0.0,Afzelia rhomboidea,Leguminosae,,,
35,36,0.0,Afzelia xylocarpa,Leguminosae,,,
36,37,0.0,Aglaia cucullata,Meliaceae,,,
37,38,0.0,Aglaia spectabilis,Meliaceae,,,
38,39,0.0,Ailanthus altissima,Simaroubaceae,,,
39,40,0.0,Ailanthus triphysa,Simaroubaceae,,,
40,41,0.0,Alangium meyeri,Cornaceae,,,
41,42,0.0,Albizia adianthifolia,Leguminosae,,,
42,43,0.0,Albizia antunesiana,Leguminosae,,,
43,44,0.0,Albizia ferruginea,Leguminosae,,,
44,45,0.0,Albizia guachapele,Leguminosae,,,
45,46,0.0,Albizia gummifera,Leguminosae,,,
46,47,0.0,Albizia lebbeck,Leguminosae,,,
47,48,0.0,Albizia lebbekoides,Leguminosae,,,
48,49,0.0,Albizia pedicellaris,Leguminosae,,,
49,50,0.0,Albizia procera,Leguminosae,,,
50,51,0.0,Albizia saman,Leguminosae,,,
51,52,0.0,Albizia versicolor,Leguminosae,,,
52,53,0.0,Albizia zygia,Leguminosae,,,
53,54,0.0,Alchornea triplinervia,Euphorbiaceae,,,
