,entity_id,is_coniferous,sc_name,family,flag,range_state,common_name,genus,is_tropical
0,1,0.0,Acacia auriculiformis,Leguminosae,0.0,,ear-leaf acacia,Acacia,
1,2,0.0,Acacia crassicarpa,Leguminosae,1.0,,,Acacia,
2,3,0.0,Acacia decurrens,Leguminosae,,,,Acacia,
3,4,0.0,Acacia koa,Leguminosae,0.0,,gray koa;koa,Acacia,
4,5,0.0,Acacia mangium,Leguminosae,,,,Acacia,
5,6,0.0,Acacia mearnsii,Leguminosae,,,,Acacia,
6,7,0.0,Acacia melanoxylon,Leguminosae,,,,Acacia,
7,8,0.0,Acacia nilotica,Leguminosae,0.0,,sunt;qarad,Acacia,
8,9,0.0,Acacia pubescens,Leguminosae,,,,Acacia,
9,10,0.0,Acer campestre,Sapindaceae,0.0,,field maple,Acer,
10,11,0.0,Acer macrophyllum,Sapindaceae,0.0,,bigleaf maple;oregon maple,Acer,
11,12,0.0,Acer negundo,Sapindaceae,0.0,,boxelder,Acer,
12,13,0.0,Acer palmatum,Sapindaceae,0.0,,ji zhua feng;鸡爪枫;japanese maple,Acer,
13,14,0.0,Acer pensylvanicum,Sapindaceae,0.0,,striped maple;moosewood,Acer,
14,15,0.0,Acer pictum,Sapindaceae,0.0,,the painted maple,Acer,
15,16,0.0,Acer platanus,Sapindaceae,,,,Acer,
16,17,0.0,Acer pseudoplatanus,Sapindaceae,0.0,,sycamore,Acer,
17,18,0.0,Acer rubrum,Sapindaceae,0.0,,red maple,Acer,
18,19,0.0,Acer saccharinum,Sapindaceae,0.0,,silver maple,Acer,
19,20,0.0,Acer saccharum,Sapindaceae,0.0,,sugar maple,Acer,
20,21,0.0,Acer saccharum nigrum,Sapindaceae,,,,Acer,
21,22,0.0,Acer saccharum,Sapindaceae,,,,Acer,
22,23,0.0,Acosmium panamense,Leguminosae,,,,Acosmium,
23,24,0.0,Acrocarpus fraxinifolius,Leguminosae,,,,Acrocarpus,
24,25,0.0,Adenanthera pavonina,Leguminosae,,,,Adenanthera,
25,26,0.0,Aesculus flava,Sapindaceae,,,,Aesculus,
26,27,0.0,Aesculus glabra,Sapindaceae,,,,Aesculus,
27,28,0.0,Aesculus hippocastanum,Sapindaceae,1.0,,castanheiro da índia;horse chestnut,Aesculus,
28,29,0.0,Aesculus turbinata,Sapindaceae,,,,Aesculus,
29,30,0.0,Afzelia africana,Leguminosae,1.0,,arinyan;papao;kawo;lenguè;savanna doussié;afzelia;akpalata;apa,Afzelia,
30,31,0.0,Afzelia bella,Leguminosae,,,,Afzelia,
