,id,genus,species,sub_species,main_common_name,other_common_names,status
0,78774453,Asplenium,dielerectum,,Asplenium-diellia,Asplenium-diellia,CR
1,78774610,Asplenium,dielfalcatum,,,,CR
2,78774640,Asplenium,dielpallidum,,,,CR
3,116164070,Geissois,magnifica,,,,LC
4,64881277,Cenchrus,platyacanthus,,,,LC
5,83755828,Forsythia,europaea,,,,LC
6,83755841,Frangula,pedunculata,,,,DD
7,83755882,Frangula,rupestris,,,,LC
8,83755901,Genista,aristata,,,ginestra dei Nebrodi,LC
9,83756047,Genista,corsica,,,,LC
10,83756078,Genista,berberidea,,,,NT
11,116164202,Geissois,montana,,,,LC
12,83756132,Genista,cupanii,,,,LC
13,80217216,Schiedea,apokremnos,,,,CR
14,78775516,Asplenium,unisorum,,,,CR
15,108659936,Coffea,perrieri,,,,LC
16,58983728,Isoetes,bischlerae,,,,LC
17,83756380,Genista,falcata,,,,LC
18,58983779,Isoetes,cleefii,,,,LC
19,58983879,Isoetes,colombiana,,,,DD
20,58983919,Isoetes,dispora,,,,CR
21,101320181,Persea,rigens,,,,LC
22,64882167,Paspalum,galapageium,,,,LC
23,83756546,Genista,germanica,,,,LC
24,110626455,Dendriopoterium,menendezii,,,,EN
25,83756729,Genista,haenseleri,,,,EN
26,116164327,Geissois,polyphylla,,,,LC
27,132831,Epidendrum,cocoense,,Epidendro De Cocos,Epidendro De Cocos,NT
28,132833,Epidendrum,insulanum,,Epidendro de Cocos,Epidendro de Cocos,NT
29,132834,Platanthera,praeclara,,Western Prairie Fringed Orchid,Western Prairie Fringed Orchid,EN
30,78776120,Diplazium,molokaiense,,,,CR
31,105908057,Physalis,greenmanii,,,,EN
32,105908074,Physalis,hastatula,,,,EN
33,64269620,Canadanthus,modestus,,,,LC
34,80217972,Schiedea,haleakalensis,,,,CR
35,64269647,Cardamine,bulbosa,,,,LC
36,80218137,Schiedea,helleri,,,,CR
37,64269656,Cardamine,pensylvanica,,,,LC
38,67373107,Hymenophyllum,capillaceum,,St Helena Filmy Fern,St Helena Filmy Fern,EN
39,67373125,Asplenium,compressum,,Plastic Fern,Hen and Chicks Fern;Plastic Fern,VU
40,80218194,Schiedea,hookeri,,,,CR
41,80218247,Schiedea,kauaiensis,,,,CR
42,67373229,Asplenium,haughtonii,,Barn Fern,Barn Fern,CR
43,80218288,Schiedea,kealiae,,,,CR
44,80218319,Schiedea,nuttallii,,,,CR
45,80218373,Schiedea,perlmanii,,,,CR
46,80218429,Schiedea,membranacea,,,,CR
47,105908550,Physalis,lignescens,,,,EN
48,64269714,Carex,adelostoma,,Circumpolar sedge,Circumpolar sedge;Lapinnuijasara,DD
49,80087527,Dubautia,plantaginea,,,Na'ena'a,CR
50,133705,Alocasia,atropurpurea,,,,CR
51,133707,Alocasia,sanderiana,,Sander's Alocasia,Sander's Alocasia,CR
52,133708,Alocasia,sinuata,,Alocasia Quilted Dreams,Alocasia Quilted Dreams,CR
53,133709,Rafflesia,magnifica,,,,CR
54,133711,Senecio,leucopeplus,,,,EW
55,133713,Gaultheria,nubigena,,Chaura De Las Cascadas,Chaura De Las Cascadas,VU
56,133715,Oxalis,chachahuensis,,Yuyito Rico,Yuyito Rico,EN
57,133722,Calocedrus,rupestris,,,,EN
58,133733,Weissia,multicapsularis,,Many-fruited beardless moss,Many-fruited beardless moss,CR
