,entity_id,is_coniferous,sc_name,family,flag,range_state,common_name
0,1,0.0,Acacia auriculiformis,Leguminosae,0,,Ear-leaf Acacia
1,2,0.0,Acacia crassicarpa,Leguminosae,1,,
2,3,0.0,Acacia decurrens,Leguminosae,,,
3,4,0.0,Acacia koa,Leguminosae,0,,Koa;Gray Koa
4,5,0.0,Acacia mangium,Leguminosae,,,
5,6,0.0,Acacia mearnsii,Leguminosae,,,
6,7,0.0,Acacia melanoxylon,Leguminosae,,,
7,8,0.0,Acacia nilotica,Leguminosae,0,,Sunt;Qarad
8,9,0.0,Acacia pubescens,Leguminosae,,,
9,10,0.0,Acer campestre,Sapindaceae,0,,Field Maple
10,11,0.0,Acer macrophyllum,Sapindaceae,0,,Oregon Maple;Bigleaf Maple
11,12,0.0,Acer negundo,Sapindaceae,0,,Boxelder
12,13,0.0,Acer palmatum,Sapindaceae,0,,鸡爪枫 (Ji Zhua Feng);Japanese Maple
13,14,0.0,Acer pensylvanicum,Sapindaceae,0,,Striped Maple;Moosewood
14,15,0.0,Acer pictum,Sapindaceae,0,,The Painted Maple
15,16,0.0,Acer platanus,Sapindaceae,,,
16,17,0.0,Acer pseudoplatanus,Sapindaceae,0,,Sycamore
17,18,0.0,Acer rubrum,Sapindaceae,0,,Red Maple
18,19,0.0,Acer saccharinum,Sapindaceae,0,,Silver Maple
19,20,0.0,Acer saccharum,Sapindaceae,0,,Sugar Maple
20,21,0.0,Acer saccharum nigrum,Sapindaceae,,,
21,22,0.0,Acer saccharum,Sapindaceae,,,
22,23,0.0,Acosmium panamense,Leguminosae,,,
23,24,0.0,Acrocarpus fraxinifolius,Leguminosae,,,
24,25,0.0,Adenanthera pavonina,Leguminosae,,,
25,26,0.0,Aesculus flava,Sapindaceae,,,
26,27,0.0,Aesculus glabra,Sapindaceae,,,
27,28,0.0,Aesculus hippocastanum,Sapindaceae,1,,Horse Chestnut;Castanheiro da Índia
28,29,0.0,Aesculus turbinata,Sapindaceae,,,
29,30,0.0,Afzelia africana,Leguminosae,1,,Arinyan;Savanna Doussié;Lenguè;Akpalata;Papao;Kawo;Apa;Afzelia
30,31,0.0,Afzelia bella,Leguminosae,,,
31,32,0.0,Afzelia bipindensis,Leguminosae,1,,Aja;Doussié;Ayan-olutoko;Doussie;Odo Niyan;Red Doussié
32,33,0.0,Afzelia pachyloba,Leguminosae,1,,White Afzelia;Orodo;White Doussié;Apa Igbo
33,34,0.0,Afzelia quanzensis,Leguminosae,,,
34,35,0.0,Afzelia rhomboidea,Leguminosae,1,,Tanduk;Tindalo;Balayong;Kupang;Tarum
35,36,0.0,Afzelia xylocarpa,Leguminosae,1,,Kha;Ma Khaa Mong;Go Ca Te;Makha-luang;Beng;Makha-hua-kham;Tê Kha;Go Do
36,37,0.0,Aglaia cucullata,Meliaceae,1,,Amoora;Katong-tiklop;Nyireh Batu;Pacific Maple;Che;Tasua;Myauk-le-seik;Bengang;Daeng-nam;Malakamote;Kato
37,38,0.0,Aglaia spectabilis,Meliaceae,0,,Lantupak;Langsat-langsat;Bekak;Merasam;Mokken;Tasua-bailek
38,39,0.0,Ailanthus altissima,Simaroubaceae,1,,
39,40,0.0,Ailanthus triphysa,Simaroubaceae,,,
40,41,0.0,Alangium meyeri,Cornaceae,,,
41,42,0.0,Albizia adianthifolia,Leguminosae,0,,West African Albizia;Flat-crown Albizia
42,43,0.0,Albizia antunesiana,Leguminosae,,,
43,44,0.0,Albizia ferruginea,Leguminosae,1,,Awiemfo Samina;Sifou;Uwowe;Ayinre-ogo;Latandza;Albizia;Ngu
44,45,0.0,Albizia guachapele,Leguminosae,,,
45,46,0.0,Albizia gummifera,Leguminosae,,,
46,47,0.0,Albizia lebbeck,Leguminosae,,,
47,48,0.0,Albizia lebbekoides,Leguminosae,,,
48,49,0.0,Albizia pedicellaris,Leguminosae,,,
49,50,0.0,Albizia procera,Leguminosae,,,
50,51,0.0,Albizia saman,Leguminosae,,,
51,52,0.0,Albizia versicolor,Leguminosae,,,
52,53,0.0,Albizia zygia,Leguminosae,,,
53,54,0.0,Alchornea triplinervia,Euphorbiaceae,,,
54,55,0.0,Aleurites moluccanus,Euphorbiaceae,0,,Candlenut Tree
55,56,0.0,Alexa grandiflora,Leguminosae,,,
56,57,0.0,Alexa imperatricis,Leguminosae,,,
57,58,0.0,Alexa wachenheimii,Leguminosae,0,,
58,59,0.0,Allantoma integrifolia,Lecythidaceae,,,
59,60,0.0,Allantoma pluriflora,Lecythidaceae,,,
60,61,0.0,Allophylus cobbe,Sapindaceae,,,
61,62,0.0,Alnus glutinosa,Betulaceae,0,,European Alder;swartels;Common Alder;klibbal;Black alder;ontano nero
62,63,0.0,Alnus incana,Betulaceae,0,,Grey alder
63,64,0.0,Alnus nepalensis,Betulaceae,0,,Utees;Otish;Lal-amiri;उतिस Utis;Ust;Nepal Black Cedar;ni po er qi mu;Utis
64,65,0.0,Alnus rubra,Betulaceae,0,,Western alder;Oregon alder;Aulne rouge;Red alder
65,66,0.0,Alphitonia philippinensis,Rhamnaceae,,,
66,67,0.0,Alphitonia zizyphoides,Rhamnaceae,,,
67,68,0.0,Alseodaphne archboldiana,Lauraceae,,,
68,69,0.0,Alseodaphne malabonga,Lauraceae,,,
69,70,0.0,Alstonia actinophylla,Apocynaceae,,,
70,71,0.0,Alstonia angustifolia,Apocynaceae,0,,Pulai Penipu Bukit;Pulai Pipit;Pulai Penipu Paya
71,72,0.0,Alstonia angustiloba,Apocynaceae,,,
72,73,0.0,Alstonia boonei,Apocynaceae,,,
73,74,0.0,Alstonia congensis,Apocynaceae,,,
74,75,0.0,Alstonia macrophylla,Apocynaceae,0,,Katung Fa;Thungfa;Teen Thian;Pulai Daun Besar;Champek Phnom;Tampahin;Cây So Tua;Kra Thungfa Hai;Tung Fa;Pulai Penipu Bukit;Sayongan;Batino;CÃ¢y So Tua;Cayacayao
75,76,0.0,Alstonia scholaris,Apocynaceae,0,"AR,CL",Sath Taba;Satba;Ruith;Puulaa Puu Teh;Pule;Tin Pet Khao;Tin Pet Dam;Geceh;White Cheesewood;Pulai Itam;Mo Cua;Sataban;Milkwood Pine;Blackboard Tree;Tin Pet;Lame Putih;Dita;Waser;Pulai Lilin;Teenpet Khaao;Sat Thba;Cay Sua
76,77,0.0,Alstonia spatulata,Apocynaceae,0,,Hard Milkwood;Pulai Paya;Sia;Teenpet Phru;Thia;Siamese Balsa;Pulai Lilin;Ka Bui;Pulai Gabus;Lame Bodas;Pulai Basong
77,78,0.0,Altingia excelsa,Altingiaceae,,,
78,79,0.0,Amblygonocarpus andongensis,Leguminosae,,,
79,80,0.0,Amburana cearensis,Leguminosae,1,,Cumaré;Palo Trébol;Cerejeira;Cumarú;Amburana;Ishpingo;Umburana Do Cheiro;Roble Salteño;Roble Del Pais
80,81,0.0,Amphimas ferrugineus,Leguminosae,,,
