,entity_id,sc_name,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
24562,24563,Abarema abbottii,,Abarema,abbottii,,,,,,1.0
24560,24561,Abarema alexandri,,Abarema,alexandri,,,,,,0.0
18069,18070,Abarema bigemina,,Abarema,bigemina,,,,,,1.0
24552,24553,Abarema callejasii,,Abarema,callejasii,,,,,,1.0
24566,24567,Abarema centiflora,,Abarema,centiflora,,,,,,1.0
24550,24551,Abarema cochleata,,Abarema,cochleata,,,,,,1.0
24559,24560,Abarema cochliocarpos,,Abarema,cochliocarpos,,,,,,0.0
24547,24548,Abarema commutata,,Abarema,commutata,,,,,,0.0
24543,24544,Abarema curvicarpa,,Abarema,curvicarpa,,orelha de negro,,,,0.0
24557,24558,Abarema filamentosa,,Abarema,filamentosa,,,,,,1.0
24545,24546,Abarema ganymedea,,Abarema,ganymedea,,,,,,1.0
24565,24566,Abarema josephi,,Abarema,josephi,,,,,,1.0
24554,24555,Abarema killipii,,Abarema,killipii,,,,,,1.0
24553,24554,Abarema lehmannii,,Abarema,lehmannii,,,,,,1.0
24549,24550,Abarema leucophylla,,Abarema,leucophylla,,,,,,1.0
24542,24543,Abarema longipedunculata,,Abarema,longipedunculata,,,,,,0.0
24551,24552,Abarema moniliformis,,Abarema,moniliformis,,,,,,1.0
24556,24557,Abarema obovata,,Abarema,obovata,,,,,,1.0
24563,24564,Abarema oxyphyllidia,,Abarema,oxyphyllidia,,,,,,1.0
24555,24556,Abarema racemiflora,,Abarema,racemiflora,,,,,,1.0
24544,24545,Abarema rodriguesii,,Abarema,rodriguesii,,,,,,1.0
24561,24562,Abarema troyana,,Abarema,troyana,,,,,,0.0
24558,24559,Abarema turbinata,,Abarema,turbinata,,,,,,1.0
24548,24549,Abarema vaupesensis,,Abarema,vaupesensis,,,,,,1.0
24564,24565,Abarema villifera,,Abarema,villifera,,,,,,0.0
19936,19937,Abdulmajidia chaniana,,Abdulmajidia,chaniana,,,,,,1.0
19937,19938,Abdulmajidia maxwelliana,,Abdulmajidia,maxwelliana,,,,,,1.0
35342,35343,Abeliophyllum distichum,,Abeliophyllum,distichum,,미선나무;white forsythia;mi-seon-na-mu,,,,1.0
1655,1656,Abies alba,Pinaceae,Abies,alba,,silver fir;sapin pectiné;weisstanne,,,1.0,0.0
1795,1796,Abies alba,Pinaceae,Abies,alba,,,,,1.0,
1656,1657,Abies amabilis,Pinaceae,Abies,amabilis,,pacific silver fir;cascade fir;lovley fir,,,1.0,0.0
1796,1797,Abies amabilis,Pinaceae,Abies,amabilis,,,,,1.0,
1657,1658,Abies balsamea,Pinaceae,Abies,balsamea,,,,,1.0,1.0
1797,1798,Abies balsamea,Pinaceae,Abies,balsamea,,,,,1.0,
20620,20621,Abies beshanzuensis,Pinaceae,Abies,beshanzuensis,,baishanzu lengshan;百山祖冷杉;baishan fir,,,1.0,1.0
1658,1659,Abies bracteata,Pinaceae,Abies,bracteata,,bristlecone fir;santa lucia fir,,,1.0,1.0
1798,1799,Abies bracteata,Pinaceae,Abies,bracteata,,,,,1.0,
26053,26054,Abies cephalonica,Pinaceae,Abies,cephalonica,,kukunaria;greek fir;grecian fir,,,1.0,0.0
22207,22208,Abies chensiensis chensiensis,Pinaceae,Abies,chensiensis,chensiensis,秦岭冷杉;qin ling leng shan;shensi fir,,,1.0,0.0
32653,32654,Abies chensiensis salouenensis,Pinaceae,Abies,chensiensis,salouenensis,salween fir,,,1.0,0.0
22209,22210,Abies chensiensis yulongxueshanensis,Pinaceae,Abies,chensiensis,yulongxueshanensis,,,,1.0,0.0
22208,22209,Abies chensiensis,Pinaceae,Abies,chensiensis,,salween fir,,,1.0,0.0
33622,33623,Abies cilicica cilicica,Pinaceae,Abies,cilicica,cilicica,,,,1.0,1.0
21255,21256,Abies cilicica isaurica,Pinaceae,Abies,cilicica,isaurica,,,,1.0,1.0
