,family,genus,species,sub_sp,common_name,range_state,is_tropical,is_coniferous,flag
0,,Abarema,abbottii,,,,,,1.0
1,,Abarema,alexandri,,,,,,0.0
2,,Abarema,bigemina,,,,,,1.0
3,,Abarema,callejasii,,,,,,1.0
4,,Abarema,centiflora,,,,,,1.0
5,,Abarema,cochleata,,,,,,1.0
6,,Abarema,cochliocarpos,,,,,,0.0
7,,Abarema,commutata,,,,,,0.0
8,,Abarema,curvicarpa,,orelha de negro,,,,0.0
9,,Abarema,filamentosa,,,,,,1.0
10,,Abarema,ganymedea,,,,,,1.0
11,,Abarema,josephi,,,,,,1.0
12,,Abarema,jupunba,,ingarana;tento azul;huruasa,GY,1.0,,0.0
13,,Abarema,killipii,,,,,,1.0
14,,Abarema,lehmannii,,,,,,1.0
15,,Abarema,leucophylla,,,,,,1.0
16,,Abarema,longipedunculata,,,,,,0.0
17,,Abarema,moniliformis,,,,,,1.0
18,,Abarema,obovata,,,,,,1.0
19,,Abarema,oxyphyllidia,,,,,,1.0
20,,Abarema,racemiflora,,,,,,1.0
21,,Abarema,rodriguesii,,,,,,1.0
22,,Abarema,troyana,,,,,,0.0
23,,Abarema,turbinata,,,,,,1.0
24,,Abarema,vaupesensis,,,,,,1.0
25,,Abarema,villifera,,,,,,0.0
26,,Abdulmajidia,chaniana,,,,,,1.0
27,,Abdulmajidia,maxwelliana,,,,,,1.0
28,,Abeliophyllum,distichum,,미선나무;white forsythia;mi-seon-na-mu,,,,1.0
29,Pinaceae,Abies,alba,,sapin pectiné;silver fir;weisstanne,,,1.0,0.0
30,Pinaceae,Abies,amabilis,,pacific silver fir;cascade fir;lovley fir,,,1.0,0.0
31,Pinaceae,Abies,balsamea,,,,,1.0,1.0
32,Pinaceae,Abies,beshanzuensis,,baishanzu lengshan;百山祖冷杉;baishan fir,,,1.0,1.0
33,Pinaceae,Abies,bracteata,,bristlecone fir;santa lucia fir,,,1.0,1.0
34,Pinaceae,Abies,cephalonica,,kukunaria;greek fir;grecian fir,,,1.0,0.0
35,Pinaceae,Abies,chensiensis,yulongxueshanensis;salouenensis;chensiensis,秦岭冷杉;salween fir;qin ling leng shan;shensi fir,,,1.0,0.0
36,Pinaceae,Abies,cilicica,cilicica;isaurica,,,,1.0,1.0
37,Pinaceae,Abies,coahuilensis,,,,,1.0,1.0
38,Pinaceae,Abies,concolor,,white fir;colorado fir;low's fir;california white fir,,,1.0,0.0
39,Pinaceae,Abies,delavayi,fansipanensis,nukiang fir;fansipan fir,,,1.0,1.0
40,Pinaceae,Abies,densa,,gobra;sikkim fir;gobria;salla,,,1.0,0.0
41,Pinaceae,Abies,durangensis,,durango fir,,,1.0,0.0
42,Pinaceae,Abies,ernestii,,,,,1.0,1.0
43,Pinaceae,Abies,fabri,fabri;minensis,pao shan;faber’s fir;冷杉;minshan fir;leng shan,,,1.0,1.0
44,Pinaceae,Abies,fanjingshanensis,,fan jing lengshan;梵净山冷杉,,,1.0,1.0
45,Pinaceae,Abies,fargesii,,,,,1.0,0.0
46,Pinaceae,Abies,faxoniana,,,,,1.0,1.0
47,Pinaceae,Abies,ferreana,,,,,1.0,0.0
48,Pinaceae,Abies,firma,,momi-noki;momi fir;momi,,,1.0,0.0
49,Pinaceae,Abies,forrestii,,,,,1.0,1.0
50,Pinaceae,Abies,fraseri,,fraser's fir;she balsam;fraser fir,,,1.0,1.0
51,Pinaceae,Abies,georgei,,changbao lengshan;george's fir,,,1.0,0.0
52,Pinaceae,Abies,gracilis,,,,,1.0,1.0
