,entity_id,is_coniferous,sc_name,family
0,1,0,Acacia auriculiformis,Leguminosae
1,2,0,Acacia crassicarpa,Leguminosae
2,3,0,Acacia decurrens,Leguminosae
3,4,0,Acacia koa,Leguminosae
4,5,0,Acacia mangium,Leguminosae
5,6,0,Acacia mearnsii,Leguminosae
6,7,0,Acacia melanoxylon,Leguminosae
7,8,0,Acacia nilotica,Leguminosae
8,9,0,Acacia pubescens,Leguminosae
9,10,0,Acer campestre,Sapindaceae
10,11,0,Acer macrophyllum,Sapindaceae
11,12,0,Acer negundo,Sapindaceae
12,13,0,Acer palmatum,Sapindaceae
13,14,0,Acer pensylvanicum,Sapindaceae
14,15,0,Acer pictum,Sapindaceae
15,16,0,Acer platanus,Sapindaceae
16,17,0,Acer pseudoplatanus,Sapindaceae
17,18,0,Acer rubrum,Sapindaceae
18,19,0,Acer saccharinum,Sapindaceae
19,20,0,Acer saccharum,Sapindaceae
20,21,0,Acer saccharum nigrum,Sapindaceae
21,22,0,Acer saccharum,Sapindaceae
22,23,0,Acosmium panamense,Leguminosae
23,24,0,Acrocarpus fraxinifolius,Leguminosae
24,25,0,Adenanthera pavonina,Leguminosae
25,26,0,Aesculus flava,Sapindaceae
26,27,0,Aesculus glabra,Sapindaceae
27,28,0,Aesculus hippocastanum,Sapindaceae
28,29,0,Aesculus turbinata,Sapindaceae
29,30,0,Afzelia africana,Leguminosae
30,31,0,Afzelia bella,Leguminosae
31,32,0,Afzelia bipindensis,Leguminosae
32,33,0,Afzelia pachyloba,Leguminosae
33,34,0,Afzelia quanzensis,Leguminosae
34,35,0,Afzelia rhomboidea,Leguminosae
35,36,0,Afzelia xylocarpa,Leguminosae
36,37,0,Aglaia cucullata,Meliaceae
37,38,0,Aglaia spectabilis,Meliaceae
38,39,0,Ailanthus altissima,Simaroubaceae
39,40,0,Ailanthus triphysa,Simaroubaceae
40,41,0,Alangium meyeri,Cornaceae
41,42,0,Albizia adianthifolia,Leguminosae
42,43,0,Albizia antunesiana,Leguminosae
43,44,0,Albizia ferruginea,Leguminosae
44,45,0,Albizia guachapele,Leguminosae
45,46,0,Albizia gummifera,Leguminosae
46,47,0,Albizia lebbeck,Leguminosae
47,48,0,Albizia lebbekoides,Leguminosae
48,49,0,Albizia pedicellaris,Leguminosae
49,50,0,Albizia procera,Leguminosae
50,51,0,Albizia saman,Leguminosae
51,52,0,Albizia versicolor,Leguminosae
52,53,0,Albizia zygia,Leguminosae
53,54,0,Alchornea triplinervia,Euphorbiaceae
54,55,0,Aleurites moluccanus,Euphorbiaceae
55,56,0,Alexa grandiflora,Leguminosae
56,57,0,Alexa imperatricis,Leguminosae
57,58,0,Alexa wachenheimii,Leguminosae
58,59,0,Allantoma integrifolia,Lecythidaceae
59,60,0,Allantoma pluriflora,Lecythidaceae
60,61,0,Allophylus cobbe,Sapindaceae
61,62,0,Alnus glutinosa,Betulaceae
62,63,0,Alnus incana,Betulaceae
63,64,0,Alnus nepalensis,Betulaceae
64,65,0,Alnus rubra,Betulaceae
65,66,0,Alphitonia philippinensis,Rhamnaceae
66,67,0,Alphitonia zizyphoides,Rhamnaceae
67,68,0,Alseodaphne archboldiana,Lauraceae
68,69,0,Alseodaphne malabonga,Lauraceae
69,70,0,Alstonia actinophylla,Apocynaceae
70,71,0,Alstonia angustifolia,Apocynaceae
71,72,0,Alstonia angustiloba,Apocynaceae
72,73,0,Alstonia boonei,Apocynaceae
73,74,0,Alstonia congensis,Apocynaceae
74,75,0,Alstonia macrophylla,Apocynaceae
75,76,0,Alstonia scholaris,Apocynaceae
76,77,0,Alstonia spatulata,Apocynaceae
77,78,0,Altingia excelsa,Altingiaceae
78,79,0,Amblygonocarpus andongensis,Leguminosae
79,80,0,Amburana cearensis,Leguminosae
80,81,0,Amphimas ferrugineus,Leguminosae
81,82,0,Amphimas pterocarpoides,Leguminosae
82,83,0,Anacardium excelsum,Anacardiaceae
83,84,0,Anacardium giganteum,Anacardiaceae
84,85,0,Anacardium occidentale,Anacardiaceae
85,86,0,Anacardium spruceanum,Anacardiaceae
86,87,0,Andira coriacea,Leguminosae
87,88,0,Andira inermis,Leguminosae
88,89,0,Androstachys johnsonii,Picrodendraceae
89,90,0,Aniba canellila,Lauraceae
90,91,0,Aniba parviflora,Lauraceae
91,92,0,Aniba rosaeodora,Lauraceae
92,93,0,Anisoptera costata,Dipterocarpaceae
93,94,0,Anisoptera curtisii,Dipterocarpaceae
94,95,0,Anisoptera laevis,Dipterocarpaceae
95,96,0,Anisoptera marginata,Dipterocarpaceae
96,97,0,Anisoptera scaphula,Dipterocarpaceae
97,98,0,Anisoptera thurifera,Dipterocarpaceae
98,99,0,Annickia chlorantha,Annonaceae
99,100,0,Anogeissus acuminata,Combretaceae
100,101,0,Anogeissus latifolia,Combretaceae
101,102,0,Anonidium mannii,Annonaceae
102,103,0,Anopyxis klaineana,Rhizophoraceae
103,104,0,Antiaris toxicaria welwitschii,Moraceae
104,105,0,Antiaris toxicaria,Moraceae
105,106,0,Antiaris toxicaria,Moraceae
106,107,0,Antiaris africana,Moraceae
107,108,0,Antiaris toxicaria,Moraceae
108,109,0,Antrocaryon klaineanum,Anacardiaceae
109,110,0,Antrocaryon micraster,Anacardiaceae
110,111,0,Apeiba glabra,Malvaceae
111,112,0,Aphananthe philippinensis,Cannabaceae
112,113,0,Aphanocalyx heitzii,Leguminosae
113,114,0,Apuleia leiocarpa,Leguminosae
114,115,0,Aquilaria malaccensis,Thymelaeaceae
115,116,0,Arbutus menziesii,Ericaceae
116,117,0,Arbutus unedo,Ericaceae
117,118,0,Archidendropsis xanthoxylon,Leguminosae
118,119,0,Artocarpus altilis,Moraceae
119,120,0,Artocarpus chama,Moraceae
120,121,0,Artocarpus elasticus,Moraceae
121,122,0,Artocarpus hirsutus,Moraceae
122,123,0,Artocarpus integer,Moraceae
123,124,0,Artocarpus lanceifolius,Moraceae
124,125,0,Artocarpus ovatus,Moraceae
125,126,0,Artocarpus rigidus,Moraceae
126,127,0,Artocarpus scortechinii,Moraceae
127,128,0,Aspidosperma album,Apocynaceae
128,129,0,Aspidosperma desmanthum,Apocynaceae
129,130,0,Aspidosperma megalocarpon,Apocynaceae
130,131,0,Aspidosperma polyneuron,Apocynaceae
131,132,0,Aspidosperma quebracho-blanco,Apocynaceae
132,133,0,Aspidosperma tomentosum,Apocynaceae
133,134,0,Aspidosperma vargasii,Apocynaceae
134,135,0,Aspidostemon perrieri,Lauraceae
135,136,0,Asteropeia rhopaloides,Asteropeiaceae
136,137,0,Astronium fraxinifolium,Anacardiaceae
137,138,0,Astronium graveolens,Anacardiaceae
138,139,0,Astronium lecointei,Anacardiaceae
139,140,0,Astronium urundeuva,Anacardiaceae
140,141,0,Atherosperma moschatum,Atherospermataceae
141,142,0,Aucoumea klaineana,Burseraceae
142,143,0,Autranella congolensis,Sapotaceae
143,144,0,Azadirachta excelsa,Meliaceae
144,145,0,Azadirachta indica,Meliaceae
145,146,0,Bagassa guianensis,Moraceae
146,147,0,Baikiaea insignis,Leguminosae
147,148,0,Baikiaea plurijuga,Leguminosae
148,149,0,Baillonella toxisperma,Sapotaceae
149,150,0,Balakata baccata,Euphorbiaceae
150,151,0,Balakata luzonica,Euphorbiaceae
151,152,0,Balanocarpus heimii,Dipterocarpaceae
152,153,0,Balfourodendron riedelianum,Rutaceae
153,154,0,Balmea stormiae,Rubiaceae
154,155,0,Baphia nitida,Leguminosae
155,156,0,Barringtonia acutangula,Lecythidaceae
156,157,0,Bastardiopsis densiflora,Malvaceae
157,158,0,Batesia floribunda,Leguminosae
158,159,0,Beccariophoenix madagascariensis,Arecaceae
159,160,0,Beilschmiedia letouzeyi,Lauraceae
160,161,0,Beilschmiedia mannii,Lauraceae
161,162,0,Beilschmiedia tawa,Lauraceae
162,163,0,Beilschmiedia velutina,Lauraceae
163,164,0,Berchemia zeyheri,Rhamnaceae
164,165,0,Berlinia auriculata,Leguminosae
165,166,0,Berlinia bracteosa,Leguminosae
166,167,0,Berlinia confusa,Leguminosae
167,168,0,Berlinia grandiflora,Leguminosae
168,169,0,Bertholletia excelsa,Lecythidaceae
169,170,0,Betula alleghaniensis,Betulaceae
170,171,0,Betula alnoides,Betulaceae
171,172,0,Betula lenta,Betulaceae
172,173,0,Betula maximowicziana,Betulaceae
173,174,0,Betula nigra,Betulaceae
174,175,0,Betula papyrifera,Betulaceae
175,176,0,Betula pendula,Betulaceae
176,177,0,Betula populifolia,Betulaceae
177,178,0,Betula pubescens,Betulaceae
178,179,0,Betula schmidtii,Betulaceae
179,180,0,Bischofia javanica,Phyllanthaceae
180,181,0,Bixa arborea,Bixaceae
181,182,0,Bixa orellana,Bixaceae
182,183,0,Bobgunnia fistuloides,Leguminosae
183,184,0,Bobgunnia madagascariensis,Leguminosae
184,185,0,Bombax brevicuspe,Malvaceae
185,186,0,Bombax ceiba,Malvaceae
186,187,0,Borassus flabellifer,Arecaceae
187,188,0,Bowdichia nitida,Leguminosae
188,189,0,Bowdichia virgilioides,Leguminosae
189,190,0,Brachylaena huillensis,Compositae
190,191,0,Brachylaena merana,Compositae
191,192,0,Brachylaena ramiflora,Compositae
192,193,0,Brachystegia cynometroides,Leguminosae
193,194,0,Brachystegia eurycoma,Leguminosae
194,195,0,Brachystegia laurentii,Leguminosae
195,196,0,Brachystegia leonensis,Leguminosae
196,197,0,Brachystegia mildbraedii,Leguminosae
197,198,0,Brachystegia nigerica,Leguminosae
198,199,0,Brachystegia spiciformis,Leguminosae
199,200,0,Brachystegia zenkeri,Leguminosae
200,201,0,Breonadia salicina,Rubiaceae
201,202,0,Breonia madagascariensis,Rubiaceae
202,203,0,Breviea sericea,Sapotaceae
203,204,0,Bridelia grandis,Phyllanthaceae
204,205,0,Bridelia micrantha,Phyllanthaceae
205,206,0,Brosimum alicastrum,Moraceae
206,207,0,Brosimum costaricanum,Moraceae
207,208,0,Brosimum guianense,Moraceae
208,209,0,Brosimum parinarioides,Moraceae
209,210,0,Brosimum potabile,Moraceae
210,211,0,Brosimum rubescens,Moraceae
211,212,0,Brosimum utile,Moraceae
212,213,0,Buchanania arborescens,Anacardiaceae
213,214,0,Buchanania latifolia,Anacardiaceae
214,215,0,Buchenavia tetraphylla,Combretaceae
215,216,0,Bucida buceras,Combretaceae
216,217,0,Bulnesia arborea,Zygophyllaceae
217,218,0,Bulnesia carrapo,Zygophyllaceae
218,219,0,Bulnesia sarmientoi,Zygophyllaceae
219,220,0,Burkea africana,Leguminosae
220,221,0,Bursera simaruba,Burseraceae
221,222,0,Buxus macowanii,Buxaceae
222,223,0,Buxus sempervirens,Buxaceae
223,224,0,Byrsonima crassifolia,Malpighiaceae
224,225,0,Byrsonima spicata,Malpighiaceae
225,226,0,Cabralea cangerana,Meliaceae
226,227,0,Cabralea canjerana,Meliaceae
227,228,0,Caesalpinia echinata,Leguminosae
228,229,0,Caesalpinia ferrea,Leguminosae
229,230,0,Caesalpinia granadillo,Leguminosae
230,231,0,Caesalpinia paraguariensis,Leguminosae
231,232,0,Caesalpinia platyloba,Leguminosae
232,233,0,Calophyllum brasiliense,Clusiaceae
233,234,0,Calophyllum ferrugineum,Clusiaceae
234,235,0,Calophyllum inophyllum,Clusiaceae
235,236,0,Calophyllum papuanum,Clusiaceae
236,237,0,Calophyllum peekelii,Clusiaceae
237,238,0,Calophyllum tetrapterum,Clusiaceae
238,239,0,Calophyllum tomentosum,Clusiaceae
239,240,0,Calophyllum vitiense,Clusiaceae
240,241,0,Calpocalyx heitzii,Leguminosae
241,242,0,Calycophyllum candidissimum,Rubiaceae
242,243,0,Calycophyllum multiflorum,Rubiaceae
243,244,0,Calycophyllum spruceanum,Rubiaceae
244,245,0,Campnosperma auriculatum,Anacardiaceae
245,246,0,Campnosperma brevipetiolatum,Anacardiaceae
246,247,0,Campnosperma coriaceum,Anacardiaceae
247,248,0,Campnosperma montanum,Anacardiaceae
248,249,0,Campnosperma panamense,Anacardiaceae
249,250,0,Campnosperma squamatum,Anacardiaceae
250,251,0,Cananga odorata,Annonaceae
251,252,0,Canarium euphyllum,Burseraceae
252,253,0,Canarium hirsutum,Burseraceae
253,254,0,Canarium indicum,Burseraceae
254,255,0,Canarium littorale,Burseraceae
255,256,0,Canarium luzonicum,Burseraceae
256,257,0,Canarium schweinfurtii,Burseraceae
257,258,0,Cantleya corniculata,Stemonuraceae
258,259,0,Carallia brachiata,Rhizophoraceae
259,260,0,Carapa grandiflora,Meliaceae
260,261,0,Carapa guianensis,Meliaceae
261,262,0,Carapa procera,Meliaceae
262,263,0,Cardwellia sublimis,Proteaceae
263,264,0,Cariniana domestica,Lecythidaceae
264,265,0,Cariniana estrellensis,Lecythidaceae
265,266,0,Cariniana legalis,Lecythidaceae
266,267,0,Cariniana pyriformis,Lecythidaceae
267,268,0,Carpinus betulus,Betulaceae
268,269,0,Carpinus caroliniana,Betulaceae
269,270,0,Carya alba,Juglandaceae
270,271,0,Carya aquatica,Juglandaceae
271,272,0,Carya cordiformis,Juglandaceae
272,273,0,Carya glabra,Juglandaceae
