,genus,species,common_name,range_state
0,Abarema,jupunba,Ingarana;Tento Azul;Huruasa,GY
1,Acacia,auriculiformis,Black Wattle;Brown Salwood;Mangge Hutan;Tongke Hutan;Kayu Safoda;Arr;Kra Thin Tepa;Brown Salwood;Black Wattle;Brown Salwood;Black Wattle;Acacia,AU;ID;MY;PG;TH;GB;US
2,Acacia,mangium,Black Wattle;Brown Salwood;Mangge Hutan;Tongke Hutan;Kayu Safoda;Arr;Kra Thin Tepa;Brown Salwood;Black Wattle;Brown Salwood;Black Wattle;Acacia,AU;ID;MY;PG;TH;GB;US
3,Adina,cordifolia,Khvao;Kwao;Haldu;Lasi;Thom;Meraga;Hnaw;Adina;Haldu;Kolon;Kwao;Tong Lueang;Gao-Vang;Haldu,KH;IN;ID;LA;MY;MM;PH;LK;TH;VN
4,Adina,microcephala,Matumi;Rhodesian Redwood;Mugonha,DZ;ES;ES;EG;LY;PT;ES;MA;SD;TN;EH;BI;KM;DJ;ER;ET;KE;MG;MW;MU;YT;MZ;RE;RW;SC;SO;SS;TZ;UG;ZM;ZW;AO;CM;CF;TD;CG;CD;GQ;GA;ST;BW;LS;NA;ZA;SZ;BJ;BF;CV;GM;GH;GN;GW;CI;LR;ML;MR;NE;NG;SH;SN;SL;TG
5,Afrormosia,elata,Obang;Obang;Assamela;Kokrodua;Ole;Bohala;Mohole;Assamela;Oleo Pardo;Afrormosia,CM;CF;CI;GH;CD;FR
6,Afzelia,africana,N’kokongo Uvala;M’Banga;Doussié;N’Kokongo;Lingue;Azodau;Papao;Mussacossa;Chanfuta;Apa;Aligna;Lingue;Kpendei;Mkora;Mbembakofi;Bolengu;Afzelia;Chafuta;Afzelia;Afzelia;Doussié,AO;CM;CG;CI;GH;MZ;NG;SN;SL;TZ;CD;DE;PT;GB;US
7,Afzelia,bella,N’kokongo Uvala;M’Banga;Doussié;N’Kokongo;Lingue;Azodau;Papao;Mussacossa;Chanfuta;Apa;Aligna;Lingue;Kpendei;Mkora;Mbembakofi;Bolengu;Afzelia;Chafuta;Afzelia;Afzelia;Doussié,AO;CM;CG;CI;GH;MZ;NG;SN;SL;TZ;CD;DE;PT;GB;US
8,Afzelia,bipindensis,N’kokongo Uvala;M’Banga;Doussié;N’Kokongo;Lingue;Azodau;Papao;Mussacossa;Chanfuta;Apa;Aligna;Lingue;Kpendei;Mkora;Mbembakofi;Bolengu;Afzelia;Chafuta;Afzelia;Afzelia;Doussié,AO;CM;CG;CI;GH;MZ;NG;SN;SL;TZ;CD;DE;PT;GB;US
9,Afzelia,cuanzensis,N’kokongo Uvala;M’Banga;Doussié;N’Kokongo;Lingue;Azodau;Papao;Mussacossa;Chanfuta;Apa;Aligna;Lingue;Kpendei;Mkora;Mbembakofi;Bolengu;Afzelia;Chafuta;Afzelia;Afzelia;Doussié,AO;CM;CG;CI;GH;MZ;NG;SN;SL;TZ;CD;DE;PT;GB;US
10,Afzelia,pachyloba,N’kokongo Uvala;M’Banga;Doussié;N’Kokongo;Lingue;Azodau;Papao;Mussacossa;Chanfuta;Apa;Aligna;Lingue;Kpendei;Mkora;Mbembakofi;Bolengu;Afzelia;Chafuta;Afzelia;Afzelia;Doussié,AO;CM;CG;CI;GH;MZ;NG;SN;SL;TZ;CD;DE;PT;GB;US
11,Aglaia,,Tasua,
12,Albizia,adianthifolia,Mepepe,
13,Albizia,angolensis,Zanzangue;Agla Nyinfun;Evouvous;Sifou-Sifou;Yatanza;Iatandza;Awiemfo-Samina;Okuro;Musase;Ayinre-Ogo;Mugavu;Nongo;Elongwamba;Okuru;West African Albizia;Iatandza,AO;BJ;CM;CG;CI;GA;GH;LR;NG;UG;CD;GB
14,Albizia,falcataria,Falcata;Moluccan sau;Jeungjing;Sengon laut;Sikat;Batai;Kayu machis;Puah;Indonesian albizia;Batai,PH;ID;MY;GB
15,Albizia,fastigiata,Mepepe,
16,Albizia,ferruginea,Zanzangue;Agla Nyinfun;Evouvous;Sifou-Sifou;Yatanza;Iatandza;Awiemfo-Samina;Okuro;Musase;Ayinre-Ogo;Mugavu;Nongo;Elongwamba;Okuru;West African Albizia;Iatandza,AO;BJ;CM;CG;CI;GA;GH;LR;NG;UG;CD;GB
17,Albizia,gummifera,Mepepe,
18,Albizia,lebbek,Sirish;Sirisha;Aninapla;Langil;Siris;Sirs;Kitoke;Tarisi;Tekik;Batai;Batai Batu;Kungkur;Oriang;Kalo Siris;Cha Kham;Chamchuri;Kampu;Phruek;Suek;Lim Xanh;Bois noir;Bois savane;Tcha Tcha;Acacia Chachá;Algarroba de Olor;Amor Plantónico;Aroma;Aroma Fracesca;Cabellos de Ángel;Faurestina;Florestina;Lengua de Mujer;Lengua Viperina;Acacia Amarilla;East Indian Walnut;English Woman's Tongue;Fry wood;Indian Siris;Lebbeck;Siris Tree;Woman’s Tongue Tree;Kokko,BD;PH;IN;ID;MY;NP;TH;VN;FR;ES;GB
19,Albizia,saman,Kungkur,
20,Albizia,zygia,Mepepe,
21,Alchornea,triplinervia,Kanakudiballi;Tapiá,BR
22,Alexa,,Haiari,BR;GY;SR
23,Allantoma,integrifolia,Yesquero;Jequitiba;Jequitiba Branco;Jequitiba Rosa;Jequitiba Vermelho;Estopeiro;Jequitiba,BO;BR
24,Alstonia,angustiloba,Pulai;Sepati;Pulai;Letok;Sega;White Cheese Wood;Mike Wood;Dita;Thia;Mo-Cua;White Cheese Wood;Mike Wood;Chaitanwood;Chatian;Pagoda Tree;Patternwood;Pulaï;Hard Alstonia,ID;MY;MM;PG;PH;TH;VN;AU;IN;GB
25,Alstonia,boonei,Awun;Egbu;Mubajangalabi;Mujua;Mukoge;Musoga;Alstonia;Pattern wood;Stool wood;Emien,NG;UG;GB
26,Alstonia,congensis,Awun;Egbu;Mubajangalabi;Mujua;Mukoge;Musoga;Alstonia;Pattern wood;Stool wood;Emien,NG;UG;GB
27,Alstonia,gilletii,Awun;Egbu;Mubajangalabi;Mujua;Mukoge;Musoga;Alstonia;Pattern wood;Stool wood;Emien,NG;UG;GB
28,Alstonia,macrophylla,Pulai;Sepati;Pulai;Letok;Sega;White Cheese Wood;Mike Wood;Dita;Thia;Mo-Cua;White Cheese Wood;Mike Wood;Chaitanwood;Chatian;Pagoda Tree;Patternwood;Pulaï;Hard Alstonia,ID;MY;MM;PG;PH;TH;VN;AU;IN;GB
29,Alstonia,pneumatophora,Pulai;Sepati;Pulai;Letok;Sega;White Cheese Wood;Mike Wood;Dita;Thia;Mo-Cua;White Cheese Wood;Mike Wood;Chaitanwood;Chatian;Pagoda Tree;Patternwood;Pulaï;Hard Alstonia,ID;MY;MM;PG;PH;TH;VN;AU;IN;GB
30,Alstonia,scholaris,Pulai;Sepati;Pulai;Letok;Sega;White Cheese Wood;Mike Wood;Dita;Thia;Mo-Cua;White Cheese Wood;Mike Wood;Chaitanwood;Chatian;Pagoda Tree;Patternwood;Pulaï;Hard Alstonia,ID;MY;MM;PG;PH;TH;VN;AU;IN;GB
31,Alstonia,spatulata,Pulai;Sepati;Pulai;Letok;Sega;White Cheese Wood;Mike Wood;Dita;Thia;Mo-Cua;White Cheese Wood;Mike Wood;Chaitanwood;Chatian;Pagoda Tree;Patternwood;Pulaï;Hard Alstonia,ID;MY;MM;PG;PH;TH;VN;AU;IN;GB
32,Amblygonocarpus,andongensis,Banga-wanga,
33,Amblygonocarpus,obtusangulus,Banga-wanga,
34,Amburana,cearensis,Roble Criollo;Roble del País;Roble;Palo Trébol;Trébol;Roble Americano;Amburana;Cerejeira;Cumarú de Cheiro;Umburana;Trébol;Ishipingo;Sorioco;Cerejeira,AR;BO;BR;PY;PE
35,Amoora,,Tasua,
36,Amphimas,pterocarpoides,Edjin;Edzil;Lati;Edzui;Muzui;Bokanga;Lati,CM;CI;GH;CG
37,Amphimas,,Lati,CM;CI;GH;CG
38,Anacardium,excelsum,Caju Assu;Caju da Matta;Caracoli;Maranon;Espavel;Caracoli;Caracoli,BR;CO;EC;NI;VE
39,Anadenanthera,colubrina,Angico;Cebil;Huilco;Vilca;Wilco;Curupay,AR;BO;BV;BR;CL;CO;EC;FK;GF;GY;PY;PE;GS;SR;UY;VE
40,Andira,,Andira,BR;CO;EC;GF;GY;MX;PE;SR;TT;VE
41,Androstachys,johnsonii,Cimbirre;Lebombo Ironwood;Nsimbitsi;Mecrussé,MZ;ZA
42,Aniba,duckei,Pau-Rosa;Bois rose femelle,BR
43,Aniba,guianensis,Canelón,
