,genus,species,common_name,origin,conduit
0.0,Shorea,,meranti;lauan;lawaan;seraya;balau;bangkirai;philippine mahogany;balau;selangan batu,LA;MM;VN,CN
,Shorea,platyclados,marsolok,ID,
1.0,Dalbergia,,rio;bahia;brazilian rosewood;sheesham;palisander de rio grande;jacarandá;cocobolo;sua;indian rosewood;sonokeling,LA;MM;PA;VN;BR,CN
2.0,Pinus,koraiensis,korean pine;korean cedar,RU,CN
3.0,Quercus,mongolica,oak,RU,CN
4.0,Pterocarpus,,padauk;padouk;mukwa;narra;amboyna,LA;MM;VN,
5.0,Pericopsis,,african teak;afromosia;afrormosia;satinwood;yellow satinwood,,CN
6.0,Dipterocarpus,,keruing;asian mahogany;gurjan.,ID;LA;MM;VN,
7.0,Swietenia,,mahogany,PA;PE,CN
,Swietenia ,macrophylla,marsolok,PA,
8.0,Palaquium,,nyatoh,PA;PE,CN
9.0,Canarium,,,PA;PE,CN
10.0,Hura,crepitans,ochoó,BO,
11.0,"Handroanthus spp. (formerly placed in the Tabebuia genus)
",spp. & T. impetiginosa,tajibo;ipê-roxo,BO;BR,CN
12.0,Amburana,cearensis,roble,BO,
13.0,Machaerium,scleroxylon,morado,BO,
14.0,Cedrela,odorata,spanish cedar,BO;PE;PA,CN
15.0,Centrolibium,microchaete,tarara,BO,
16.0,Hymenaea,courbaril,jatobá;paquió,BR;BO,CN
17.0,Ceiba,pentandra,hoja de yuca;kapok;lupula,BO;PE,CN
18.0,Triplochiton,scleroxylon,ayous,CM,CN
19.0,Chlorophora,,iroko,CM,CN
20.0,Entandrophragma,cylindricum,sapele mahogany,CM;CM;CD,CN
21.0,Nauclea,,bilinga,CM,CN
22.0,Guibourtia,,bubinga;kevazingo,CM;GA,CN
23.0,Prioria,copaifera,cativo,PE;PA,
24.0,Cariniana,pyriformis,abarco;colombian mahogany,PE,
25.0,Dryobalanops,aromatica,kapur,ID,CN
26.0,Eusideroxylon,zwageri,ulin or borneo ironwood,ID,CN
27.0,Gonostylus,,ramin,ID;MM,CN
28.0,Afzelia,xylocarpa,afzelia,LA,
29.0,Xylia,xylocarpa,pyinkado,LA;MM;VN,
30.0,Hopea,,merawan,LA,
31.0,Intsia,,merbau,LA;MY;MM;PG;SB,CN
,Intsia,palembanic ,marsolok,MY,
32.0,Anisoptera,,mersawa,LA,
33.0,Chamaecyparis,,hinoki cypress,LA,
34.0,Neobalanacarpus,hemii,chengal,MY,
35.0,Tectona,grandis,teak,MM,CN
36.0,Sindora,,sepetir,MM;VN,
37.0,Peltogyne,purpurea,purple heart,PA,
38.0,Vitex,cooperi,fiddlewood,PA,
39.0,Dipteryx,odorata & micrantha,cumarú;brazilian teak;almendrillo,PE;BO,CN
40.0,Myroxylon,balsamum,estoraque,PE,CN
41.0,Fraxinus,mandshurica,manchurian ash,RU,CN
42.0,Tilia,amurensis & manshurica,amur linden;manchurian linden,RU,CN
43.0,Ulmus,japonica,japanese elm,RU,CN
44.0,Erythrophleum,fordii,lim,VN,
45.0,Araucaria,angustifolia,araucária,BR,CN
46.0,Caesalpinia,echinata,native brazilwood;pernambuco,BR,CN
47.0,Manilkara,huberi,maçaranduba,BR,CN
48.0,Millettia,laurentii,wengué;wenge,,CN
49.0,Aucoumea,klaineana,okoume,GA,CN
50.0,Baillonella,toxiperma,moabi,GA,CN
51.0,Taxus,"wallichiana, cuspidata, Chinensis",himalayan yew;japanese yew;chinese yew,MM,CN
52.0,Pometia,pinnata,taun,PG;SB,CN
53.0,Calophyllum,inophyllum,bintangor,PG;SB,CN
56.0,Abies ,guatemalensis,guatemalan fir;mexican fir,SV,
57.0,"Aquilaria, Gyrinops",,agarwood;eaglewood;aloewood;agar;oud;oudh,SV,
58.0,Araucaria,araucana,monkey puzzle tree;chilean pine,SV,
59.0,Bulnesia ,sarmientoi,holy wood;verawood;lignum vitae;paraguay lignum vitae;argentine lignum vitae;guaiac;guaiac wood,SV,
60.0,Diospyros,,ebony,,
61.0,Dipteryx,"panamensis, oleifera",almendro;tonka bean tree,,
62.0,Fitzroya ,cupressoides,patagonian cypress;chilean false larch,,
63.0,Guaiacum,"angustifolia, coulteri, officinale, sanctum, unijugum",sonora guaiacum;lignum-vitae;pockwood;wood of life;tree of life;ironwood,,
64.0,Osyris ,lanceolata,east african sandalwood,,
65.0,Pilgerodendron,uviferum,guaitecas cypress;chilean cedar;patagonian cypress;patagonian pilgerodendron,,
66.0,Platymiscium,pleiostachyum,platymiscium,,
67.0,Podocarpus ,"neriifolius, parlatorei",brown pine;black pine podocarp;parlatore’s podocarp;yellow wood,,
68.0,Prunus,Africana,african cherry;african stinkwood;bitter almond;blackwood;ironwood;pygeum africanum;red stinkwood;red strinkhout,,
69.0,Pterocarpus ,santalinus,agaru;red sanders;red sandalwood;sandalwood;saunderswood,,
