,Indent,Description,hs_code
0,0.0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,4401
1,1.0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms,4401.10.00
2,1.0,Wood in chips or particles,4401.21.00
3,2.0,Coniferous,4401.21.00
4,2.0,Nonconiferous,4401.22.00
5,1.0,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,4401.31.00
6,2.0,Wood pellets,4401.31.00
7,2.0,Other,4401.39
8,3.0,Artificial fire logs composed of wax && sawdust &&  with or without added materials,4401.39.20
9,3.0,Other,4401.39.40
10,4.0,Sawdust not agglomerated,4401.39.40.10
11,4.0,Shavings,4401.39.40.20
12,4.0,Other,4401.39.40.90
13,0.0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated,4402
14,1.0,Of bamboo,4402.10.00
15,1.0,Other,4402.90.00
16,0.0,Wood in the rough &&  whether or not stripped of bark or sap-wood &&  or roughly squared,4403
17,1.0,Treated with paint &&  stain &&  creosote or other preservatives,4403.10.00
18,2.0,Poles &&  piles && posts,4403.10.00.20
19,3.0,Telephone &&  telegraph && electrical power poles,4403.10.00.20
20,3.0,Fence posts,4403.10.00.40
21,3.0,Other,4403.10.00.50
22,2.0,Other,4403.10.00.60
23,1.0,Other &&  coniferous,4403.20.00
24,2.0,Pulpwood,4403.20.00.4
25,3.0,Balsam &&  fir or spruce,4403.20.00.4
26,3.0,Other,4403.20.00.8
27,2.0,Poles &&  piles && posts,4403.20.00.12
28,3.0,Telephone &&  telegraph && electrical power poles,4403.20.00.12
29,3.0,Fence posts,4403.20.00.15
30,3.0,Other,4403.20.00.16
31,2.0,Logs && timber,4403.20.00.20
32,3.0,Pine ( <i>Pinus</i> spp.),4403.20.00.20
