,Unnamed: 0,Unnamed: 0.1,hs_code,Indent,Description,sc_names
0,0,0,4401,0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,
1,1,1,4401.10.00.00,1,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms,
2,2,2,,1,Wood in chips or particles,
3,3,3,4401.21.00.00,2,Coniferous,
4,4,4,4401.22.00.00,2,Nonconiferous,
5,5,5,,1,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,
6,6,6,4401.31.00.00,2,Wood pellets,
7,7,7,4401.39,2,Other,
8,8,8,4401.39.20.00,3,Artificial fire logs composed of wax && sawdust &&  with or without added materials,
9,9,9,4401.39.40,3,Other,
10,10,10,4401.39.40.10,4,Sawdust not agglomerated,
11,11,11,4401.39.40.20,4,Shavings,
12,12,12,4401.39.40.90,4,Other,
13,13,13,4402,0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated,
14,14,14,4402.10.00.00,1,Of bamboo,
15,15,15,4402.90.00.00,1,Other,
16,16,16,4403,0,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared,
17,17,17,4403.10.00,1,Treated with paint &&  stain &&  creosote or other preservatives,
18,18,18,,2,Poles &&  piles && posts,
19,19,19,4403.10.00.20,3,Telephone &&  telegraph && electrical power poles,
20,20,20,4403.10.00.40,3,Fence posts,
21,21,21,4403.10.00.50,3,Other,
22,22,22,4403.10.00.60,2,Other,
23,23,23,4403.20.00,1,Other &&  coniferous,
24,24,24,,2,Pulpwood,
25,25,25,4403.20.00.04,3,Balsam &&  fir or spruce,
26,26,26,4403.20.00.08,3,Other,
27,27,27,,2,Poles &&  piles && posts,
28,28,28,4403.20.00.12,3,Telephone &&  telegraph && electrical power poles,
29,29,29,4403.20.00.15,3,Fence posts,
30,30,30,4403.20.00.16,3,Other,
31,31,31,,2,Logs && timber,
32,32,32,,3,Pine (Pinus spp.),Pinus spp.
33,33,33,4403.20.00.20,4,Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinada) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana),Pinus spp.
34,34,34,4403.20.00.25,4,Ponderosa pine (Pinus ponderosa),Pinus spp.
35,35,35,4403.20.00.30,4,Other,Pinus spp.
36,36,36,4403.20.00.35,3,Spruce (Picea spp.),Picea spp.
37,37,37,4403.20.00.40,3,Douglas-fir (Pseudotsuga menziesii),
38,38,38,4403.20.00.42,3,Other fir; balsam,
39,39,39,4403.20.00.50,3,Western hemlock (Tsuga heterophylla),
40,40,40,4403.20.00.52,3,Other hemlock,
41,41,41,4403.20.00.55,3,Western red cedar (Thuja plicata),
42,42,42,4403.20.00.57,3,Other cedar,
43,43,43,4403.20.00.64,3,Other,
44,44,44,4403.20.00.65,2,Other,
45,45,45,,1,Other &&  of tropical wood,
46,46,46,4403.41.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,
47,47,47,4403.49.01.00,2,Other,
48,48,48,,1,Other,
49,49,49,4403.91.00,2,Of oak (Quercus spp.),Quercus spp.
50,50,50,4403.91.00.20,3,Of red oak,Quercus spp.
51,51,51,4403.91.00.40,3,Other,Quercus spp.
52,52,52,4403.92.00.00,2,Of beech (Fagus spp.),Fagus spp.
53,53,53,4403.99.00,2,Other,
54,54,54,,3,Pulpwood,
55,55,55,4403.99.00.22,4,Of poplar &&  aspen or cottonwood,
56,56,56,4403.99.00.23,4,Other,
57,57,57,,3,Poles &&  piles && posts,
58,58,58,4403.99.00.26,4,Of poplar &&  aspen or cottonwood,
59,59,59,4403.99.00.27,4,Of birch,
60,60,60,4403.99.00.28,4,Other,
61,61,61,,3,Other,
62,62,62,4403.99.00.30,4,Of birch (Betula spp.),Betula spp.
63,63,63,4403.99.00.40,4,Of ash (Fraxinus spp.),Fraxinus spp.
64,64,64,4403.99.00.50,4,Of western red alder (Alnus rubra),
65,65,65,4403.99.00.55,4,Of cherry (Prunus spp.),Prunus spp.
66,66,66,4403.99.00.60,4,Of maple (Acer spp.),Acer spp.
67,67,67,4403.99.00.65,4,Of yellow poplar (Liriodendron tulipifera),
68,68,68,4403.99.00.67,4,Of other poplar; of aspen or cottonwood,
69,69,69,4403.99.00.70,4,Of walnut (Juglans spp.),Juglans spp.
70,70,70,4403.99.00.75,4,Of paulownia (Paulownia spp.),Paulownia spp.
71,71,71,4403.99.00.95,4,Other,
72,72,72,4404,0,Hoopwood; split poles; piles &&  pickets && stakes of wood &&  pointed but not sawn lengthwise; wooden sticks &&  roughly trimmed but not turned &&  bent or otherwise worked &&  suitable for the manufacture of walking-sticks &&  umbrellas &&  tool handles or the like; chipwood && the like,
73,73,73,4404.10.00,1,Coniferous,
74,74,74,4404.10.00.40,2,Fence pickets &&  palings && rails,
75,75,75,4404.10.00.80,2,Poles &&  piles && posts,
76,76,76,4404.10.00.90,2,Other,
77,77,77,4404.20.00,1,Nonconiferous,
78,78,78,4404.20.00.40,2,Fence pickets &&  palings && rails,
79,79,79,4404.20.00.80,2,Poles &&  piles && posts,
80,80,80,4404.20.00.90,2,Other,
81,81,81,4405.00.00.00,0,Wood wool (excelsior); wood flour,
82,82,82,4406,0,Railway or tramway sleepers (cross-ties) of wood,
83,83,83,4406.10.00.00,1,Not impregnated,
84,84,84,4406.90.00.00,1,Other,
85,85,85,4407,0,Wood sawn or chipped lengthwise &&  sliced or peeled &&  whether or not planed &&  sanded or end-jointed &&  of a thickness exceeding 6 mm,
86,86,86,4407.10.01,1,Coniferous,
87,87,87,4407.10.01.01,2,Finger-jointed,
88,88,88,,2,Other,
89,89,89,4407.10.01.02,3,Treated with paint &&  stain &&  creosote &&  or other preservative,
90,90,90,,3,Not treated,
91,91,91,4407.10.01.15,4,"Mixtures of spruce &&  pine &&  && fir (""S-P-F"")",
92,92,92,4407.10.01.16,4,"Mixtures of western hemlock && amabilis fir (""hem-fir"")",
93,93,93,,4,Other,
94,94,94,,5,Sitka spruce (Picea sitchensis),
95,95,95,4407.10.01.17,6,Rough,
96,96,96,4407.10.01.18,6,Other,
97,97,97,,5,Other spruce,
98,98,98,4407.10.01.19,6,Rough,
99,99,99,4407.10.01.20,6,Other,
100,100,100,,5,Eastern white pine (Pinus Strobus) && red pine (Pinus resinosa),
101,101,101,4407.10.01.42,6,Rough,
102,102,102,4407.10.01.43,6,Other,
103,103,103,,5,Lodgepole pine (Pinus contorta),
104,104,104,4407.10.01.44,6,Rough,
105,105,105,4407.10.01.45,6,Other,
106,106,106,,5,Southern yellow pine (Loblolly pine (Pinus taeda)) &&  long leaf pine (Pinus palustris) &&  pitch pine (Pinus rigida) &&  short leaf pine (Pinus echinata) &&  slash pine (Pinus elliottii) && Virginia pine (Pinus virginiana),
107,107,107,4407.10.01.46,6,Rough,
108,108,108,4407.10.01.47,6,Other,
109,109,109,,5,Ponderosa pine (Pinus ponderosa),
110,110,110,4407.10.01.48,6,Rough,
111,111,111,4407.10.01.49,6,Other,
112,112,112,,5,Other pine,
113,113,113,4407.10.01.52,6,Rough,
114,114,114,4407.10.01.53,6,Other,
115,115,115,,5,Douglas-fir (Pseudotsuga menziesii),
116,116,116,,6,Rough,
117,117,117,4407.10.01.54,7,Having a minimum dimension less than 5.1 cm,
118,118,118,4407.10.01.55,7,Having a minimum dimension 5.1 cm or more but less than 12.7 cm,
119,119,119,4407.10.01.56,7,Having a minimum dimension 12.7 cm or more,
120,120,120,4407.10.01.57,6,Other,
121,121,121,,5,Fir (Abies spp.),Abies spp.
122,122,122,4407.10.01.58,6,Rough,Abies spp.
123,123,123,4407.10.01.59,6,Other,Abies spp.
124,124,124,,5,Hemlock (Tsuga spp.),Tsuga spp.
125,125,125,4407.10.01.64,6,Rough,Tsuga spp.
126,126,126,4407.10.01.65,6,Other,Tsuga spp.
127,127,127,,5,Larch (Larix spp.),Larix spp.
128,128,128,4407.10.01.66,6,Rough,Larix spp.
129,129,129,4407.10.01.67,6,Other,Larix spp.
130,130,130,,5,Western red cedar,
131,131,131,4407.10.01.68,6,Rough,
132,132,132,4407.10.01.69,6,Other,
133,133,133,,5,Yellow cedar (Chamaecyparis nootkatensis),
134,134,134,4407.10.01.74,6,Rough,
135,135,135,4407.10.01.75,6,Other,
136,136,136,,5,Other cedar (Thuja spp. &&  Juniperus spp. &&  Chamaecyparis spp. &&  Cupressus spp. && Libocedrus spp.),Juniperus spp.;Chamaecyparis spp.;Thuja spp.;Cupressus spp.;Libocedrus spp.
137,137,137,4407.10.01.76,6,Rough,Juniperus spp.;Chamaecyparis spp.;Thuja spp.;Cupressus spp.;Libocedrus spp.
138,138,138,4407.10.01.77,6,Other,Juniperus spp.;Chamaecyparis spp.;Thuja spp.;Cupressus spp.;Libocedrus spp.
139,139,139,,5,Redwood (Sequoia sempervirens),
140,140,140,4407.10.01.82,6,Rough,
141,141,141,4407.10.01.83,6,Other,
142,142,142,,5,Other,
143,143,143,4407.10.01.92,6,Rough,
144,144,144,4407.10.01.93,6,Other,
145,145,145,,1,Of tropical wood,
146,146,146,4407.21.00.00,2,Mahogany (Swietenia spp.),Swietenia spp.
147,147,147,4407.22.00,2,Virola &&  Imbuia && Balsa,
148,148,148,4407.22.00.06,3,Balsa (Ochroma lagopus),
149,149,149,4407.22.00.91,3,Other,
150,150,150,4407.25.00.00,2,Dark Red Meranti &&  Light Red Meranti && Meranti Bakau,
151,151,151,4407.26.00.00,2,White Lauan &&  White Meranti &&  White Seraya &&  Yellow Meranti && Alan,
152,152,152,4407.27.00.00,2,Sapelli,
153,153,153,4407.28.00.00,2,Iroko,
154,154,154,4407.29.01,2,Other,
155,155,155,4407.29.01.06,3,Acajou d'Afrique (Khaya spp.) &&  also known as African mahogany,Khaya spp.
156,156,156,4407.29.01.11,3,Aningre (Aningeria spp.) &&  also known as Aniegre or Anegre,Aningeria spp.
157,157,157,4407.29.01.16,3,Keruing (Dipterocarpus spp.),Dipterocarpus spp.
158,158,158,4407.29.01.21,3,Ip̩ (Tabebuia spp.),Tabebuia
159,159,159,4407.29.01.31,3,Teak (Tectona grandis),
160,160,160,4407.29.01.40,3,Andiroba (Carapa guianensis && Cprocera) &&  Padauk (Pterocarpus spp.) a.k.a. Padouk,
161,161,161,4407.29.01.60,3,Cedro (Cedrela spp.) &&  also known as Spanish Cedar,
162,162,162,4407.29.01.81,3,Other,
163,163,163,,1,Other,
164,164,164,4407.91.00,2,Of oak (Quercus spp.),Quercus spp.
165,165,165,4407.91.00.22,3,Red oak,Quercus spp.
166,166,166,4407.91.00.63,3,Other,Quercus spp.
167,167,167,4407.92.00.00,2,Of beech (Fagus spp.),Fagus spp.
168,168,168,4407.93.00,2,Of maple (Acer spp.),Acer spp.
169,169,169,4407.93.00.10,3,Hard maple,Acer spp.
170,170,170,4407.93.00.20,3,Other,Acer spp.
171,171,171,4407.94.00.00,2,Of cherry (Prunus spp.),Prunus
172,172,172,4407.95.00.00,2,Of ash (Fraxinus spp.),Fraxinus
173,173,173,4407.99.01,2,Other,
174,174,174,,3,Birch (Betula spp.),
175,175,175,4407.99.01.11,4,North American (Betula alleghaniensis &&  Betula papyrifera &&  Betula lenta &&  Betula nigra),
176,176,176,4407.99.01.13,4,European (Betula pendula &&  Betula pubescens) &&  also known as Baltic &&  Russian or Chinese birch,
177,177,177,4407.99.01.19,4,Other,
178,178,178,4407.99.01.42,3,Hickory (Carya spp.) && pecan (Carya illinoensis &&  Carya pecan),Carya spp.
179,179,179,4407.99.01.61,3,Walnut (Juglans spp),
180,180,180,4407.99.01.63,3,Western red alder (Alnus rubra),
181,181,181,4407.99.01.72,3,Yellow poplar (Liriodendron tulipifera),
182,182,182,4407.99.01.79,3,Other poplar; aspen; cottonwood,
