,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
0,0,0,4401,0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,
1,1,1,4401.10.00.00,1,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,
2,2,2,,1,Wood in chips or particles,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;wood;pellet;twig,
3,3,3,4401.21.00.00,2,Coniferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Coniferous ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;wood;coniferous;pellet;twig,
4,4,4,4401.22.00.00,2,Nonconiferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Nonconiferous ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;nonconiferous;wood waste;scrap;wood;pellet;twig,
5,5,5,,1,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,
6,6,6,4401.31.00.00,2,Wood pellets,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood pellets ],chip;fuel wood;faggot;sawdust;log;similar form;wood pellet;briquette;particle;billet;wood waste;scrap;pellet;twig,
7,7,7,4401.39,2,Other,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,wood pellet
8,8,8,4401.39.20.00,3,Artificial fire logs composed of wax && sawdust &&  with or without added materials,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ Artificial fire logs composed of wax && sawdust &&  with or without added materials ],fire log;add material;chip;fuel wood;artificial fire;faggot;sawdust;log;similar form;wax;briquette;particle;billet;wood waste;scrap;log compose;pellet;twig,wood pellet
9,9,9,4401.39.40,3,Other,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,fire log;artificial fire;sawdust;wood pellet;wax;log compose;add material
10,10,10,4401.39.40.10,4,Sawdust not agglomerated,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Sawdust not agglomerated ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;agglomerate;billet;wood waste;scrap;pellet;twig,fire log;artificial fire;sawdust;wood pellet;wax;log compose;add material
11,11,11,4401.39.40.20,4,Shavings,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Shavings ],chip;fuel wood;shaving;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,fire log;artificial fire;sawdust;wood pellet;wax;log compose;add material
12,12,12,4401.39.40.90,4,Other,,[ [ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ ![ Shavings ] && ![ Sawdust not agglomerated ] ] ],chip;fuel wood;faggot;sawdust;log;similar form;briquette;particle;billet;wood waste;scrap;pellet;twig,fire log;artificial fire;sawdust;wood pellet;wax;agglomerate;shavings;log compose;add material
13,13,13,4402,0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ],wood charcoal;agglomerate;shell;nut charcoal,
14,14,14,4402.10.00.00,1,Of bamboo,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ Of bamboo ],shell;wood charcoal;bamboo;agglomerate;nut charcoal,
