,Unnamed: 0.1,Unnamed: 0.1.1,hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw
0,0,0,4401,0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
1,1,1,4401.10.00.00,1,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
2,2,2,,1,Wood in chips or particles,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ],wood;billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
3,3,3,4401.21.00.00,2,Coniferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Coniferous ],coniferous;wood;billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
4,4,4,4401.22.00.00,2,Nonconiferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Nonconiferous ],wood;billet;twig;nonconiferous;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
5,5,5,,1,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
6,6,6,4401.31.00.00,2,Wood pellets,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood pellets ],billet;twig;chip;scrap;wood pellet;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,
7,7,7,4401.39,2,Other,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,wood pellet
8,8,8,4401.39.20.00,3,Artificial fire logs composed of wax && sawdust &&  with or without added materials,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ Artificial fire logs composed of wax && sawdust &&  with or without added materials ],log compose;billet;twig;artificial fire;wax;chip;scrap;fire log;add material;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,wood pellet
9,9,9,4401.39.40,3,Other,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ],billet;twig;chip;scrap;log;faggot;similar form;sawdust;fuel wood;wood waste;particle;briquette;pellet,log compose;wax;wood pellet;add material;sawdust;artificial fire;fire log
