hs_code,Indent,Description,sc_names,full_desc,pos_kw,neg_kw,hscode_6
4401,0,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],faggot;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,,4401
4401.10.00.00,1,Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms ],faggot;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,,440110
,1,Wood in chips or particles,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ],faggot;wood;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,,
4401.21.00.00,2,Coniferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Coniferous ],faggot;wood;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;Coniferous;fuel wood;log,,440121
4401.22.00.00,2,Nonconiferous,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood in chips or particles ] && [ Nonconiferous ],faggot;wood;billet;briquette;chip;particle;wood waste;Nonconiferous;twig;scrap;similar form;fuel wood;log,,440122
,1,Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,,
4401.31.00.00,2,Wood pellets,,[ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Wood pellets ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;wood pellet;fuel wood;log,,440131
4401.39,2,Other,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,wood pellet,440139
4401.39.20.00,3,Artificial fire logs composed of wax && sawdust &&  with or without added materials,,[ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ Artificial fire logs composed of wax && sawdust &&  with or without added materials ],faggot;Sawdust;material;billet;briquette;chip;particle;fire log;wood waste;wax;twig;scrap;similar form;log compose;artificial fire;fuel wood;log,wood pellet,440139
4401.39.40,3,Other,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,material;fire log;wax;wood pellet;log compose;artificial fire,440139
4401.39.40.10,4,Sawdust not agglomerated,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Sawdust not agglomerated ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,material;fire log;wax;wood pellet;log compose;artificial fire,440139
4401.39.40.20,4,Shavings,,[ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ Shavings ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,material;fire log;wax;wood pellet;log compose;artificial fire,440139
4401.39.40.90,4,Other,,[ [ [ [ Fuel wood &&  in logs &&  in billets &&  in twigs &&  in faggots or in similar forms; wood in chips or particles; sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ Sawdust && wood waste && scrap &&  whether or not agglomerated in logs &&  briquettes &&  pellets or similar forms ] && [ ![ Wood pellets ] ] ] && [ ![ Artificial fire logs composed of wax && sawdust &&  with or without added materials ] ] ] && [ ![ Shavings ] && ![ Sawdust not agglomerated ] ] ],faggot;Sawdust;billet;briquette;chip;particle;wood waste;twig;scrap;similar form;fuel wood;log,Sawdust;material;fire log;wax;wood pellet;log compose;artificial fire,440139
4402,0,Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ],nut charcoal;wood charcoal;shell,,4402
4402.10.00.00,1,Of bamboo,,[ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ Of bamboo ],nut charcoal;bamboo;wood charcoal;shell,,440210
4402.90.00.00,1,Other,,[ [ Wood charcoal (including shell or nut charcoal) &&  whether or not agglomerated ] && [ ![ Of bamboo ] ] ],nut charcoal;wood charcoal;shell,bamboo,440290
4403,0,Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ],squared;strip;rough;sap wood;bark,,4403
4403.10.00,1,Treated with paint &&  stain &&  creosote or other preservatives,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ],creosote;paint;preservative;squared;strip;rough;sap wood;bark,,440310
,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ],creosote;post;paint;Poles;preservative;squared;strip;rough;pile;sap wood;bark,,
4403.10.00.20,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],creosote;post;paint;telegraph;Poles;preservative;squared;Telephone;strip;electrical power;power pole;rough;pile;sap wood;bark,,440310
4403.10.00.40,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ Fence posts ],creosote;post;paint;Poles;preservative;squared;strip;rough;pile;fence post;sap wood;bark,,440310
4403.10.00.50,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],creosote;post;paint;Poles;preservative;squared;strip;rough;pile;sap wood;bark,telegraph;Telephone;electrical power;power pole;fence post,440310
4403.10.00.60,2,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Treated with paint &&  stain &&  creosote or other preservatives ] && [ ![ Poles &&  piles && posts ] ] ],creosote;paint;preservative;squared;strip;rough;sap wood;bark,post;Poles;pile,440310
4403.20.00,1,Other &&  coniferous,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ],coniferous;squared;strip;rough;sap wood;bark,,440320
,2,Pulpwood,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ],pulpwood;coniferous;squared;strip;rough;sap wood;bark,,
4403.20.00.04,3,Balsam &&  fir or spruce,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ Balsam &&  fir or spruce ],coniferous;Balsam;squared;fir;strip;Pulpwood;rough;sap wood;bark,,440320
4403.20.00.08,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Pulpwood ] && [ ![ Balsam &&  fir or spruce ] ] ],coniferous;squared;strip;Pulpwood;rough;sap wood;bark,fir;Balsam,440320
,2,Poles &&  piles && posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ],post;coniferous;Poles;squared;strip;rough;pile;sap wood;bark,,
4403.20.00.12,3,Telephone &&  telegraph && electrical power poles,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Telephone &&  telegraph && electrical power poles ],post;coniferous;telegraph;Poles;squared;Telephone;strip;electrical power;power pole;rough;pile;sap wood;bark,,440320
4403.20.00.15,3,Fence posts,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ Fence posts ],post;coniferous;Poles;squared;strip;rough;pile;fence post;sap wood;bark,,440320
4403.20.00.16,3,Other,,[ [ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Poles &&  piles && posts ] && [ ![ Fence posts ] && ![ Telephone &&  telegraph && electrical power poles ] ] ],post;coniferous;Poles;squared;strip;rough;pile;sap wood;bark,telegraph;Telephone;electrical power;power pole;fence post,440320
,2,Logs && timber,,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ],coniferous;timber;squared;strip;rough;sap wood;bark;Logs,,
,3,Pine (Pinus spp.),Pinus spp.,[ Wood in the rough &&  whether or not stripped of bark or sap- wood &&  or roughly squared ] && [ Other &&  coniferous ] && [ Logs && timber ] && [ Pine (Pinus spp.) ],pinus spp;coniferous;Pine;timber;squared;strip;rough;sap wood;bark;Logs,,
